Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
"Ingeniero, Arquitecto de redacción de proyectos","VÍAS Y CONSTRUCCIONES DEL NORTE, S.L.",España,No especificado,+ 30 d,"3,9","Empresa constructora de León, necesita incorporar para su departamento de redacción de proyectos personal con titulación técnica, ICCP, ITOP, Arquitecto, Arquitecto Técnico, Ingeniero Técnico de Minas, Ingeniero Civil, etc., con mas de 5 años de experiencia en redacción de proyectos de edificación y obra civil.

Tipo de puesto: Jornada completa, Contrato indefinido

Beneficios:

Flexibilidad horaria

Experiencia:

Liderazgo: 1 año (Deseable)

Ubicación del trabajo: Empleo presencial",León,Todos
Encargado de obra,"VÍAS Y CONSTRUCCIONES DEL NORTE, S.L.",España,2 mil € - 3 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Se ofrece el puesto de Encargado/a de obra civil y edificación para la construcción de obras en León y provincia.

Los requisitos para el puesto son:

Más de 5 años de experiencia en puestos de responsabilidad en obras civiles.
Habilidades demostradas en Gestión de obra, Obra civil, Gestión de proyectos de construcción, Seguridad en la construcción, Prevención de riesgos en la construcción, Planificación de obra, Planificación de proyectos de construcción, Control de materiales de construcción, Supervisión.

La oferta incluye un contrato de duración definida por el plazo de ejecución de la obra, con un salario acorde a la experiencia. La persona seleccionada será responsable de la gestión, planificación y supervisión de todas las tareas de construcción, asegurando el cumplimiento de los plazos, presupuestos y especificaciones técnicas. Trabajará estrechamente con el equipo técnico de VIACON para llevar a cabo el proyecto con los más altos estándares de calidad.

Tipo de puesto: Jornada completa

Sueldo: 1.900,00€-2.500,00€ al mes

Beneficios:

Coche de empresa
Comidas en la empresa
Gastos de vivienda
Jornada intensiva los viernes

Experiencia:

Construcción: 1 año (Deseable)

Ubicación del trabajo: Empleo presencial",León,Todos
Tecnico en electronica para servicio Posventa de Bicicletas eléctricas,Urbanbiker,Valdelafuente,18 mil € - 22 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Somos una empresa fabricante de bicicletas eléctricas ubicada en León. Estamos seleccionando un técnico en electrónica que realizará las siguientes funciones reportando al Responsable del Servicio Postventa:

Gestión activa de incidencias con clientes en colaboración con los agentes de atención al cliente de los diferentes países.
Gestión del software postventa Zendesk gestionando tickets y elaborando informes técnicos.
Reparaciones mecánicas y de la electrónica de las bicicletas y su puesta a punto.

Buscamos a un profesional con los siguiente requisitos:

Experiencia como técnico en electrónica de al menos 3 años.
Conocimientos de mecánica de bicicletas muy valorable.
Experiencia en el manejo de aplicaciones informáticas.
Residencia en León o alrededores

Ofrecemos formar parte de un proyecto en crecimiento internacional, posibilidades de desarrollo profesional y con contratación indefinida. El salario sera acorde con las experiencia del candidato

Tipo de puesto: Jornada completa

Sueldo: 18.000,00€-22.000,00€ al año

Experiencia:

Ténico en electrónica: 3 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",León,Todos
Operador para Centro Receptor de Alarmas (con certificado discapacidad o IPT).,Sistemas de Seguridad y Telecomunicaciones,España,17 mil € - 20 mil € (Proporcionado por la empresa),16 días,"3,9","¿Quiénes somos?
Somos una empresa comprometida con la seguridad, la discreción y la calidad en la prestación de nuestros servicios. Apostamos por un equipo humano preparado y en constante formación para afrontar los retos de un sector en evolución.

Buscamos incorporar a nuestro Centro Receptor de Alarmas 24h, a una persona responsable y con capacidad de gestión, que cuenten con un certificado de discapacidad o Incapacidad Permanente Total (IPT).

Requisitos imprescindibles:

Certificado de discapacidad igual o superior al 33% o IPT.
Residencia en León.
Permiso de trabajo en regla.
Disponibilidad para trabajar en turnos partidos de 24h.

Perfil del candidato ideal:

Responsable, serio, con iniciativa y discreto.
Habilidades de comunicación y expresión verbal fluida.
Carácter extrovertido y resolutivo.
Amplia experiencia en el uso de ordenadores.
Dominio de la gestión telefónica y atención al cliente.
Familiaridad con la resolución de incidencias.

Qué ofrecemos:

Formación inicial y reciclaje continuo a cargo de la empresa.
Integración en un equipo sólido y comprometido.
Desarrollo profesional en un entorno técnico y humano de alto nivel.

Si cumples con los requisitos y estás interesado/a, ¡esperamos tu candidatura!

Tipo de puesto: Jornada completa, Indefinido, Discapacidad

Sueldo: 17.000,00€-20.000,00€ al año

Preguntas para la solicitud:

¿Resides en la ciudad de León o alrededores? Especificar.
¿Qué experiencia tienes en gestión telefónica y manejo de ordenador?

Licencia/Certificación:

discapacidad (min.33%) (Obligatorio)

Ubicación del trabajo: Empleo presencial",León,Todos
Asesor/a comercial en renovación energética (autonomo/a),HN Renovación,España,No especificado,+ 30 d,"3,9","Sobre nosotros

En HN Renovación, empresa especializada en la eficiencia energética y la rehabilitación de viviendas, creemos que trabajar bien empieza por sentirse bien. Somos una empresa de tamaño humano, que actúa en ese campo desde hace más de 5 años y que ha acompañado a más de 1000 clientes en la renovación de su vivienda en países de la Unión Europea.

Nuestra misión es ayudar a los hogares de la provincia a ahorrar energía, reducir sus facturas y contribuir al medio ambiente gracias a soluciones subvencionadas como el aislamiento de áticos y la instalación de bombas de calor. Este es un proyecto a largo plazo, ya que las subvenciones evolucionan constantemente y nuestro territorio de acción crecerá en los próximos años, ofreciendo nuevas oportunidades de desarrollo profesional y expansión.

Para llevar a cabo nuestra misión, disponemos de equipos técnicos propios y un local comercial en León, desde donde coordinamos nuestras operaciones y nuestros equipos.

Tu misión

Como asesor/a comercial (puerta a puerta), serás la cara visible de HN Renovación en León y provincia. Tus principales funciones :

Captar clientes en zonas residenciales (puerta a puerta)
Identificar necesidades de rehabilitación energética en viviendas unifamiliares
Presentar nuestras soluciones (aislamiento + bomba de calor) y explicar las subvenciones públicas disponibles
Generar confianza, aportar claridad y acompañar al cliente en todo el proceso de decisión
Reportar resultados y trabajar en equipo con el resto de comerciales

Perfil que buscamos (M/H)

Gran motivación y ganas de superarse
Será un plus tener experiencia previa en atención al cliente o ventas directas, comerciales puerta a puerta, B2C (muy valorada la experiencia en contacto directo con el cliente)
Conocimiento de los dispositivos de financiación españoles : CAE y subvenciones del gobierno y de la Unión Europea (valorado)
Conocimiento del territorio leonés y capacidad para desplazarse en la provincia (será un plus)
Don de gente : facilidad para conectar con la gente, grandes dotes de comunicación, empatía y capacidad de negociación
Capacidad a trabajar en autonomía
Actitud proactiva y positiva, toma de iniciativa

Requisitos

Permiso de conducir B (disponer de vehículo propio será un plus)
Situación administrativa estable en España (DNI, NIE, permiso de trabajo)
Bilingüe Español oral y escrito (otros idiomas valorados)

Lo que ofrecemos

Incorporación inmediata - Actividad autonoma estable con salario muy actractivo (altas comisiones por contratos cerrados)
Jornada completa con trabajo de lunes a viernes (horarios flexibles)
Formación inicial y continua en productos, técnicas de venta y programas de subvención
Oportunidades reales de crecimiento profesional (jefe de equipo, supervisor comercial)
Un proyecto sólido en un sector en plena expansión, con un impacto positivo en el medio ambiente
Un ambiente de trabajo agradable, eventos de team building, espacios para compartir con el equipo…

¿Quieres unirte?

Si te llama la aventura y quieres crecer en el sector de la eficiencia energética, ¡esta es tu oportunidad en León!

Envíanos tu candidatura (CV + carta de presentación) a g.bourlier@hnrenovacion.com con ese asunto : HN Renovación – Juntos por un futuro más eficiente y sostenible

Las entrevistas se realizarán en presential (preferible)

Tipo de puesto: Jornada completa, Contrato indefinido, Autónomo

Beneficios:

Ayuda al desarrollo profesional
Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Programa de formación

Ubicación del trabajo: Viajes periódicos",León,Todos
Asesor/a Contable,Kolibri Consulting,España,22 mil € - 28 mil € (Proporcionado por la empresa),24 días,"3,9","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Leon, León provincia",León,Todos
Conductor/a de tráiler internacional – Cisternas alimentarias (Europa),LACTOMOLL TRANSPORTES,España,3 mil € (Proporcionado por la empresa),+ 30 d,"3,9","En Lactomoll Transportes S.L.U., empresa con más de 30 años de experiencia en el transporte de productos alimentarios líquidos, buscamos conductores/as profesionales para rutas internacionales en cisterna isotérmica.

Formarás parte de una flota moderna y bien cuidada, con trato directo y humano.

Ofrecemos:

Trabajo estable y sueldo de entre 2.600 y 3.100 euros netos
Flota moderna: tráileres de las mejores marcas con cabinas equipadas
Trato directo con la empresa (no subcontratamos)
Pago puntual
Apoyo continuo durante las rutas

Requisitos:

Permiso de conducir C+E
CAP en vigor
Experiencia en transporte internacional (preferible en cisternas alimentarias)
Tarjeta de tacógrafo digital
Seriedad, profesionalidad y compromiso

Contamos con un lavadero propio para nuestras cisternas y contamos con una pagina web a la cual podéis acceder poniendo este enlace en el buscador: https://lactomolltransportes.es/

Nos encontramos en Valencia de Don Juan (León), España.

¿Te interesa?

Aplica directamente por Indeed o Contáctanos al +34 648 032 255/También puedes escribirnos por WhatsApp al mismo numero

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 2.700,00€-3.100,00€ al mes

Experiencia:

Transporte con Camiones/Trailers: 1 año (Obligatorio)

Licencia/Certificación:

Carnet de conducir C+E (Obligatorio)
CAP (Obligatorio)

Ubicación del trabajo: Viajes periódicos",León,Todos
Operario de producción,Koyasan Foods,España,1 mil € (Proporcionado por la empresa),+ 30 d,"3,9","La Empresa Koyasan Foods busca operarios de Producción en Villadangos del Páramo, León.

Buscamos personas proactivas, capaces de asumir diferentes funciones, seguimiento de las normas de higiene-seguridad, con capacidad de adaptación y de trabajo en equipo.

Se requiere experiencia, conocimientos de cocina (corte de pescado y verdura) preferiblemente que hayan sido pescaderos, cocineros o similar y del sector alimentación.

Carnet de manipulación de alimentos.

Sueldo 1.397,33 euros /brutos al mes.

Jornada completa

Contratación por tipos de turno:

Turno horario mañana: 05:00h a 13:00h

Turno horario mañana: 08:00h a 16:00h

Turno horario noche: 00:00h a 8:00h

Tipo de puesto: Jornada completa

Sueldo: 1.397,33€ al mes

Beneficios:

Opción a contrato indefinido
Uniforme proporcionado

Experiencia:

Operario: 1 año (Obligatorio)

Licencia/Certificación:

Carnet de conducir (Obligatorio)
Carnet de Manipulación de alimentos (Obligatorio)

Ubicación del trabajo: Empleo presencial",León,Todos
ENTRENADOR PERSONAL AUTÓNOMO LEÓN,Basic-Fit,España,No especificado,7 días,"3,9","Nos encontramos en plena fase de expansión, abriendo nuevos centros con muchas posibilidades laborales de promoción interna.

Estamos en búsqueda continua de perfiles que se desarrollan en el entrenamiento personal.

¿Eres entrenador personal con pasión por el fitness o quieres serlo y tienes ganas de crecer profesionalmente?

¡Estamos buscando entrenadores personales freelance para unirse a nuestro equipo en Basic-Fit!

Nos encontramos en plena expansión y queremos incorporar entrenadores motivados y comprometidos.

Si te encanta ayudar a otros a alcanzar sus metas y quieres tener flexibilidad, ¡esta es tu oportunidad!

CONDICIONES QUE OFRECEMOS PARA FREELANCE:

Firma de un contrato anual renovable de año en año.

Tener el certificado de alta como autónomo.

El fee mensual es de 300€ más IVA.

En el fee mensual entra la posibilidad de entrenamiento en todas las áreas del club excepto clases de actividades dirigidas, así como el Wifi o gastos de cualquier suministro.

No tienes exclusividad en el club como entrenador personal.

Tu perfil aparecerá en WEB, NARROW CASTING, APP para poder generar negocio.

Tendrás acceso a una plataforma interna con herramientas para desarrollar su negocio y mejorar en ventas, administración y Marketing

Te damos soporte desde Partners para todo el proceso de alta y para comenzar a operar los primeros meses.

Te ponemos en contacto con empresas para que te den soportes de software y formación con las mejores condiciones del mercado.

Eres dueño de tu negocio y como tal decides tu horario, precios y servicios a ofrecer.

Tienes una suscripción gratuita para entrenar en la red de Gimnasios Basic Fit.

Como entrenador/a decides la indumentaria y el marketing a utilizar de manera local.

Si ya eres autónomo o tienes la intención de serlo, ponte en contacto con nosotros y te explicamos paso por paso como hacerlo.

¡No dudes en hacerlo!

Envía tu propuesta o CV a carlos.lopez@basic-fit.com",León,Todos
Operario de logística de almacén,Koyasan Foods,España,No especificado,+ 30 d,"3,9","La Empresa Koyasan Foods busca incorporar personal para el puesto de operario de logística back-up en Villadangos del Páramo, León provincia.

Buscamos personas proactivas, capaces de asumir diferentes funciones, seguimiento de las normas de higiene-seguridad, con capacidad de adaptación y de trabajo en equipo.

Con experiencia en el desarrollo logístico, con capacidad de trabajo en equipo, resolutiva y proactiva.

Se requiere:

Experiencia en puestos similares.

Manejo y carnet de transpaleta eléctrica.

Conocimientos básicos informáticos, para control de inventarios, pedidos, registros de materia prima, ( Libra y Excel ).

Recepción de materia prima, correspondiente procesado y almacenamiento.

Mantenimiento y orden siguiendo nuestros estándares en almacén.

Preparación de pedidos y expedición a otras plantas.

Jornada completa.

Tipo de puesto: Jornada completa

Beneficios:

Uniforme proporcionado

Experiencia:

Operario de logística: 1 año (Obligatorio)

Licencia/Certificación:

Carnet de carretillero (Obligatorio)
Carnet de Manipulación de alimentos (Deseable)
Carnet de traspaleta eléctrica (Obligatorio)

Ubicación del trabajo: Empleo presencial",León,Todos
