Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Recepcionista,Hotel Lobby room 5 estrellas,España,2 mil € (Proporcionado por la empresa),16 días,"3,7","Hotel Lobbyroom 5★ , ubicado en el corazón de Sevilla, busca incorporar a nuestro equipo un/a Recepcionista con experiencia, apasionado/a por la hospitalidad de alto nivel y la excelencia en el servicio al cliente.

- Funciones principales

Atención personalizada y exclusiva al huésped durante todo el proceso de estancia
Check-in y check-out conforme a estándares de hotelería de lujo
Gestión de reservas, facturación y cobros
Coordinación con los distintos departamentos del hotel
Resolución de incidencias con enfoque en la satisfacción del cliente
Representar la imagen, valores y nivel de excelencia del hotel

- Requisitos

Experiencia mínima de 3 años como recepcionista en hoteles 4★/5★
Inglés nivel C1 (imprescindible)
Francés nivel alto / fluido (imprescindible)
Valorable otros idiomas
Manejo de PMS hotelero
Excelentes habilidades de comunicación y trato al cliente
Imagen cuidada, actitud proactiva y orientación al detalle

- Ofrecemos

Incorporación a un proyecto hotelero de alto nivel
Entorno profesional, elegante y exigente
Estabilidad laboral
Condiciones acordes a la experiencia y valía del candidato
Incorporación inmediata

Tipo de puesto: Jornada completa

Sueldo: 1.500,00€-1.700,00€ al mes

Ubicación del trabajo: Empleo presencial",Sevilla,Todos
Personal para Restaurante,La Piemontesa,España,No especificado,+ 30 d,"3,7","Buscamos para nuestros restaurantes La Piemontesa en Sevilla:

Personal de sala.
Personal de cocina.

Horario partido. Alta en SS y contratación asegurada.

Imprescindible alguna experiencia en el sector de hostelería.

Tipo de puesto: Jornada completa, Contrato indefinido, Contrato temporal
Duración del contrato: 6 meses

Sueldo: A partir de 1.150,00€ al mes

Preguntas para la solicitud:

¿Tienes alguna experiencia en hostelería?

Ubicación del trabajo: Empleo presencial",Sevilla,Todos
Comercial de Energía – Turno de Tarde – Indefinido 30h – Comisiones SIN LÍMITE – Sevilla,ACCOM,España,1 mil € - 2 mil € (Proporcionado por la empresa),8 días,"3,7","Si buscas “un trabajo más”, esta oferta no es para ti.

Si buscas una oportunidad estable donde tu esfuerzo se traduzca en dinero real cada mes, sigue leyendo.

En ACCOM trabajamos con clientes interesados en mejorar su servicio energético. No son llamadas al azar. Son oportunidades.

Pero aquí hay algo importante:
Buscamos compromiso de verdad.
Buscamos responsabilidad.
Buscamos personas que no se conformen con el salario base.

Queremos gente con energía, ambición y mentalidad de crecimiento. Personas que entiendan que las comisiones sin límite significan que tú decides cuánto quieres ganar.

¿QUÉ TE OFRECEMOS?

Oficina en Avenida República Argentina, 24 – Sevilla (Los Remedios)
Horario fijo de 16:00 a 22:00 (ideal para compaginar estudios o proyectos personales)
Máximo 2 sábados al mes
Formación previa remunerada en turno de mañana
Contrato indefinido desde el inicio
1.098€ brutos/mes (30h) + COMISIONES SIN TECHO
Crecimiento interno real

Aquí nadie viene solo por el fijo. Aquí se viene a ganar dinero.

¿QUÉ BUSCAMOS?

Compromiso y estabilidad (no perfiles de paso).
Responsabilidad y constancia.
Mentalidad competitiva.
Ambición económica.

Valoramos:

Experiencia en ventas o call center.
Experiencia en energía (luz y gas).

Si no tienes experiencia, lo compensas con:

Actitud.
Disciplina.
Ganas de aprender.
Hambre de superación.

Si te motiva trabajar por objetivos, crecer rápido y que tu nómina dependa de tu rendimiento…

Este puede ser tu sitio.

¿Te atreves a ir a por más?

¿Nos ACCOMpañas?

Tipo de puesto: Media jornada

Sueldo: 1.200,00€-1.600,00€ al mes

Horas previstas: 30 a la semana

Beneficios:

Seguro médico privado

Preguntas para la solicitud:

Tu día a dia será en horario de TARDE ¿Podrías realizarlo?
¿Estarías disponible para hacer la formación en horario de MAÑANA?

Ubicación del trabajo: Empleo presencial",Sevilla,Todos
Auxiliar de Cajas/Reposición,Carrefour,España,No especificado,2 días,"3,7","¡Hola! ¡Queremos conocerte!
¿Te apasiona el mundo del comercio? ¿Te preocupas por los detalles? ¿Te consideras una persona dinámica? ¡Te estábamos esperando!
Carrefour es una empresa líder en comercio de alimentación y distribución y queremos que inicies una carrera profesional llena de posibilidades con nuestros mejores profesionales.
Pretendemos que todos los días sean un aprendizaje, que crezcas y llegues tan lejos como quieras. Te ofrecemos formación a cargo de la empresa y la posibilidad de promocionar internamente para seguir creciendo con nosotros.
¿Qué buscamos?
Que nuestros clientes quieran volver y para ello hay que empezar por nuestros colaboradores. Nuestro objetivo es encontrar personas con don de gentes, dinámicas, con capacidad de aprendizaje y a las que les guste trabajar en equipo.
¿Cuáles serían tus funciones?

Aportar la ayuda que nuestros clientes necesiten en su recorrido por la tienda.
Te ocuparás del mantenimiento de la imagen de la tienda, organizar el almacén, cobrar en caja y reponer los productos, para dar a nuestros clientes el servicio que están buscando.

Nos encantará conocerte si cuentas con:

Educación Secundaria Obligatoria (formación mínima requerida).
Habilidades: orientación al cliente, trabajo en equipo, proactividad.
Se valora la experiencia previa pero no es imprescindible.
Incorporación a una gran compañía donde podrás crecer.
Descuento del 8% para ti y para 6 personas más en todos nuestros productos.
Formación continua para desarrollarte profesionalmente.
Programas que se preocupan por tu bienestar: Carrefour Life (actividades y eventos deportivos, descuentos y ventajas exclusivas).

En Carrefour apostamos por un espacio de trabajo idóneo para que cualquier persona con independencia de su género, orientación sexual, identidad y/o expresión de género, creencias, ideologías, origen, capacidades, entre otras, pueda desplegar todo su potencial.",Sevilla,Todos
AZAFATAS/OS EVENTOS SEVILLA - NUEVA TEMPORADA,SIGLO21,España,No especificado,+ 30 d,"3,7","¿Te interesa trabajar en el mundo de los eventos? Este es el momento de unirte a nuestro equipo.

Estamos incorporando nuevos perfiles para trabajar en eventos en Sevilla.

Buscamos personas con:

Amplia disponibilidad horaria
Actitud proactiva y ganas de aprender
Interés en crecer dentro del sector de los eventos

Ofrecemos la oportunidad de formar parte de un equipo dinámico, participar en experiencias únicas y adquirir nuevas habilidades en un entorno profesional.

Si quieres dar el paso y comenzar tu trayectoria en el mundo de los eventos, estaremos encantados de conocerte. No dudes en inscribirte a la oferta.",Sevilla,Todos
VENDEDOR/A SEVILLA NERVIÓN PLAZA SC 16H FIN DE SEMANA,Mango,España,No especificado,+ 30 d,"3,7","En Mango vestimos de pasión todo lo que hacemos. Con origen en Barcelona y presencia en más de 120 países, inspiramos al mundo con creatividad, innovación y autenticidad.

Nuestro equipo multicultural es el motor de nuestro éxito. nos enorgullece llevar la moda más allá, conectando nuestro estilo único con personas de todo el mundo.

¿Eres entusiasta, necesitas estar siempre en activo y rodeado/a de gente? ¿Te apasiona el mundo de la moda y te encanta aconsejar a los clientes? ¿Deseas formar parte de un equipo y ayudarnos a conseguir nuestros objetivos comerciales?

Buscamos vendedor/a que se incorpore a trabajar en nuestra tienda ubicada en SEVILLA NERVIÓN PLAZA SC . Ofrecemos un contrato TEMPORAL de 16h semanales en turnos de FIN DE SEMANA.

Responsabilidades:

Vender prendas de vestir, accesorios, calzado y artículos de piel, así como servicios relacionados como estilismo y personal shopping.

Interactuar con los clientes y empleados de apoyo a las ventas para maximizar la generación de ingresos y mejorar la experiencia del cliente.

Asistir e informar a los consumidores acerca de las ofertas, incluyendo la selección y compra de productos, con un conocimiento amplio de las políticas de la organización.

Realizar funciones de apoyo a nivel de tienda, incluyendo almacenamiento, servicio al cliente, programación, operaciones del día a día, cajas y servicios de prevención de pérdidas.

Ayudar con la realización de pedidos online si un producto no está disponible en la tienda.


Experiencia y formación previa:

Experiencia previa en ventas al por menor, preferiblemente en el sector de la moda.

Formación profesional o experiencia equivalente en áreas relacionadas con la atención al cliente y ventas.

Conocimiento amplio de las políticas de la organización, productos y/o servicios.

Experiencia en la realización de pedidos online y manejo de sistemas de gestión de inventarios.

Formación en técnicas de estilismo, personal shopping, sastrería y personalización de productos.

TUS BENEFICIOS:

Como parte del equipo de Mango, tendrás un 35% de descuento en todas nuestras líneas, ¡para que estés siempre a la última!

Paquete de retribución flexible con ventajas fiscales: seguro médico, formación y programa de guardería.

En Mango, invertimos en tu crecimiento personal y profesional. Accede a una oferta de formación variada, mentorías personalizadas, programas de desarrollo continuo y oportunidades de promoción interna que te impulsarán hacia el éxito.

¡Piensa en grande! Mango te ofrece oportunidades internacionales en más de 120 mercados para expandir tu horizonte y crecer junto con nosotros a nivel global.

En Mango, creemos en una cultura inclusiva donde la creatividad y la innovación nos inspiran a llevar la moda más allá. Por ello, estamos comprometidos a ofrecer igualdad de oportunidades para todos/as, valorando la autenticidad de cada persona.

Taking Fashion
Further",Sevilla,Todos
Operario/a Almacén y Pedidos,Sinergia Talent,Dos Hermanas,No especificado,+ 30 d,"3,7","DESCRIPCIóN

Descripción del Puesto:

Buscamos una persona con perfil operativo para almacén, con capacidad para realizar tareas físicas (carga, descarga, preparación de pedidos). Su labor será clave en el buen funcionamiento del almacén, asegurando la correcta expedición de mercancía y el apoyo a tareas de almacén.


Responsabilidades Principales:


Gestión de Pedidos y Albaranes:
Preparación y montaje de pedidos.
Carga y descarga de mercancía.
Apoyo en registro de entradas y salidas en el sistema.
Orden y Organización del Almacén:
Colocación de la mercancía siguiendo criterios de rotación.
Revisión de productos caducados o dañados.
Limpieza y mantenimiento básico del espacio de trabajo.
Otras funciones:
Colaboración con el equipo en tareas de inventario.
Apoyo a la entrada de mercancía en picos de trabajo.
Reporte diario de actividad al responsable de almacén.


REQUISITOS

Requisitos:

o Experiencia en trabajos de almacén o preparación de pedidos.

o Capacidad para realizar esfuerzos físicos moderados.

o Orden, responsabilidad y atención al detalle.

o Valorable carné de carretillero y experiencia en carga/descarga.

o Valorable experiencia en trabajos relacionados con almacenes de fruta.

o Valorable zona de Dos Hermanas.",Sevilla,Todos
AUXILIAR RECEPCIÓN,BNP Paribas,España,No especificado,+ 30 d,"3,7","Misión

Realizar las tareas relativas a la recepción de visitas, llamadas y tareas de apoyo en los centros de trabajo, de acuerdo a la normativa interna de Cetelem y a las instrucciones de su superior, con el objetivo de ofrecer un servicio adecuado y dar apoyo a las distintas actividades de negocio en los centros de trabajo.

FUNCIONES

Llevar a cabo la recepción, atención e información de visitas.
Recepción de llamadas de la centralita (externas e internas).
Realizar los servicios de Postventa ligera (Sevilla, Valladolid).
Gestionar la recepción de mensajería y correo. Registrando los documentos recibidos por mensajería. Controlando los albaranes. Realizando la clasificación para la distribución.
Llevar a cabo la recepción de documentación del departamento jurídico, reclamaciones, RH, y remitirla escaneada al departamento correspondiente (Sevilla, Valladolid, Alcalá).
Gestionar las solicitudes y peticiones de mensajería (incluida internacional en Sede). Preparar envíos en los servicios de recogida. Registrar envíos realizados.
Realizar el control y mantenimiento de las salas (Sevilla, Valladolid, Alcalá).
Detectar, comunicar y seguir las incidencias de Inmobiliario (Sevilla, Valladolid, Alcalá).
Gestión del almacén y archivo (Alcalá)",Sevilla,Todos
Recepcionista de Hotel,Legado Hoteles,España,No especificado,+ 30 d,"3,7","En Legado Hoteles estamos buscando incorporar un/a Recepcionista a nuestro equipo en hotel 4* en Sevilla centro , pero antes de saber más sobre la posición, creemos que es importante que sepas un poco sobre Legado Hoteles:

· Somos una empresa 100% familiar

· Tenemos presencia en Sevilla y provincia países y nuestras oficinas centrales están en Sevilla.

· Nuestros valores son muy importantes para nosotros, todas nuestras acciones van acorde a ellos. (Pasión, Responsabilidad, Transparencia, Creatividad y Humildad).

· Somos pioneros en turismo sostenible (Revisa nuestra sección RSC para saber más).

Si esto te resulta interesante… puede que este sea tu sitio.

Como Recepcionista, tu rol se basará en:

- Aplicar los métodos de trabajo, manual de procedimientos e instrucciones de trabajo Legado Hoteles, además de velar por su cumplimiento.

- Atención personalizada a cada cliente: check-in/check-out.

- Introducción de reservas.

- Realización del parte de novedades.

- Realizar labores propias de facturación y cobro.

- Arqueos de caja.

- Servicio de Concierge (recomendaciones sobre actividades externas, restaurantes, gestión transfers, etc.)

- Recibir, tramitar y dirigir las necesidades de los clientes a los servicios correspondientes.

- Emisión de informes de turno, cierres e informes diarios, partes de policía, y planificación de servicios de la mañana.

Tipo de puesto: Jornada completa, Media jornada

Experiencia:

Recepcionista de Hotel: 1 año (Deseable)

Idioma:

Inglés (Obligatorio)

Ubicación del trabajo: Empleo presencial

Fecha de inicio prevista 01/12/2026",Sevilla,Todos
Operario de producción 18h,Koyasan Foods,Mairena del Aljarafe,No especificado,+ 30 d,"3,7","La Empresa Koyasan Foods busca operarios de Producción en Mairena del Aljarafe, Sevilla.

Buscamos personas proactivas, capaces de asumir diferentes funciones, seguimiento de las normas de higiene-seguridad, con capacidad de adaptación y de trabajo en equipo.

Se requiere experiencia, conocimientos de cocina y en el sector alimentación.

Carnet de manipulación de alimentos.

Horarios: Según necesidades

Media jornada:

18h partidas en 2 días a la semana. (Domingos fijos y otro día rotativo)

Se ofrece contrato indefinido.

Sueldo 9.000 euros /brutos al año.

Sueldo 750 euros /brutos al mes.

Tipo de puesto: Media jornada, Contrato indefinido

Sueldo: 750,00€ al mes

Beneficios:

Opción a contrato indefinido

Experiencia:

Operario: 1 año (Deseable)

Licencia/Certificación:

Carnet de Manipulación de alimentos (Obligatorio)

Ubicación del trabajo: Empleo presencial",Sevilla,Todos
