Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Ayudante de cocina,INVERODE SL,España,1 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Ampliamos nuestro equipo en Hábitat Cigüeña negra, un pequeño hotel rural con 12 habitaciones y restaurante-asador premiado con Estrella Verde Michelín, un lugar situado en mitad de una dehesa de 220 hectáreas, con ganadería propia, olivar y almazara ecológica.

Buscamos profesionales del sector con poca o mucha experiencia pero con ganas de aprender, trabajar y hacer equipo , orientados hacia la excelencia, con iniciativa y proactividad y que tengan compromiso y compartan los valores de este proyecto tan singular.

Las tareas a desarrollar en este puesto de trabajo se centran en todo lo relacionado a la preparación de los platos de nuestra carta, como el mantenimiento de la higiene y el orden de la cocina y utensilios.

Si quieres crecer con nosotros, este es tu sitio.

Tipo de puesto: Jornada completa

Sueldo: A partir de 1.300,00€ al mes

Beneficios:

Cesta de navidad
Comidas en la empresa
Gastos de vivienda
Opción a contrato indefinido
Parking gratuito
Uniforme proporcionado

Posibilidad de trasladarse/mudarse:

10890 Valverde del Fresno, Cáceres provincia: Desplazarse al trabajo sin problema o estar dispuesto a mudarse con un paquete de reubicación provisto por la empresa (Obligatorio)

Experiencia:

Hostelería: 1 año (Obligatorio)

Idioma:

español (Deseable)

Licencia/Certificación:

Carnet de Manipulación de alimentos (Deseable)

Ubicación del trabajo: Empleo presencial",Cáceres,Todos
Asesor/a Contable,Kolibri Consulting,España,22 mil € - 28 mil € (Proporcionado por la empresa),15 días,"3,9","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al mes

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Cáceres, Cáceres provincia (Cáceres)",Cáceres,Todos
Oficial de Montaje de Mobiliario y Cocinas – Proyectos Premium,ANTHA HOME INTERIORISM,Plasencia,24 mil € - 36 mil € (Proporcionado por la empresa),11 días,"3,9","OFICIAL DE MONTAJE DE MOBILIARIO Y COCINAS – PROYECTOS PREMIUM

Base en Plasencia (Cáceres).
Instalaciones en Extremadura, Salamanca y desplazamientos puntuales a nivel nacional.

ANTHA HOME INTERIORISM, empresa consolidada de interiorismo y mobiliario de diseño, busca incorporar Oficial de Montaje Integral para proyectos residenciales completos.

No buscamos un montador genérico.
Buscamos un profesional con experiencia real en montaje de mobiliario de alta calidad y acabado fino.

Funciones

Montaje de cocinas completas
Instalación de armarios y mobiliario a medida
Dormitorios, salones, juveniles y proyectos integrales de vivienda
Interpretación de planos técnicos
Nivelación profesional y ajustes finos
Instalación de herrajes técnicos
Trabajo en domicilio de cliente final
Desplazamientos puntuales con pernocta

Requisitos imprescindibles

Mínimo 5 años de experiencia en montaje integral de mobiliario
Experiencia demostrable en cocinas y armarios
Capacidad de lectura de planos técnicos
Profesionalidad y buena presencia
Compromiso y responsabilidad

Ofrecemos

Proyecto estable en empresa en crecimiento
Vehículo de empresa
Herramientas profesionales
Dietas cubiertas en desplazamientos
Salario competitivo acorde a experiencia
Entorno profesional y organizado

Ubicación

El puesto tiene base en Plasencia (Cáceres).
Se valorarán candidatos de otras provincias con disponibilidad para trasladarse.

Indicar en la candidatura

Años de experiencia
Tipo de proyectos montados
Disponibilidad para desplazamientos

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 24.000,00€-36.000,00€ al año

Beneficios:

Ayuda al desarrollo profesional
Cesta de navidad
Coche de empresa
Formación en certificaciones profesionales
Opción a contrato indefinido
Ticket restaurante
Uniforme proporcionado

Posibilidad de trasladarse/mudarse:

Plasencia, Cáceres provincia: Desplazarse al trabajo sin problemas o planificar mudarse antes de comenzar a trabajar (Obligatorio)

Preguntas para la solicitud:

Describa brevemente el tipo de proyectos que ha montado (gama media, alta, lujo).

Experiencia:

montaje de cocinas y mobiliario a medida: 3 años (Obligatorio)

Licencia/Certificación:

Carnet de conducir B (Deseable)

Disponibilidad para viajar:

100 % (Obligatorio)

Ubicación del trabajo: Empleo presencial",Cáceres,Todos
Ayudante de cocina,Al punto Caceres,España,1 mil € (Proporcionado por la empresa),6 días,"3,9","LAS FUNCIONES A REALIZAR SON LAS PROPIAS DEL PUESTO OFERTADO

Tipo de puesto: Jornada completa, Contrato temporal

Sueldo: A partir de 1.200,00€ al mes

Experiencia:

Experiencia en cocina: 1 año (Obligatorio)

Ubicación del trabajo: Empleo presencial",Cáceres,Todos
Auxiliar administrativo,Domestiko,España,1 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Se busca profesional para el puesto de auxiliar administrativo con experiencia. Las responsabilidades principales incluirán la gestión y control de proveedores y compradores, el manejo de facturas y pedidos, así como la atención telefónica y otras tareas administrativas relacionadas.

Se requieren sólidos conocimientos en el trato con proveedores y compradores, habilidades de atención telefónica y experiencia previa demostrable en puestos de auxiliar administrativo.

Se ofrece un contrato indefinido a jornada completa con un salario bruto mensual de 1481 euros.",Cáceres,Todos
Administrativo/a teletrabajo,Domestiko,España,No especificado,+ 30 d,"3,9","Buscamos una persona con un perfil administrativo para trabajar desde casa, específicamente con un certificado de discapacidad igual o superior al 33%, o bien con una incapacidad permanente total reconocida por el INSS. Se requiere formación profesional o estudios superiores en gestión y administración.

Se valorará positivamente la experiencia previa y los conocimientos en tareas relacionadas con el ámbito fiscal y contable. Las responsabilidades principales del puesto incluirán la gestión y el apoyo en dichas áreas.

Se ofrece un contrato indefinido a tiempo parcial, con una jornada laboral de 25 horas semanales, distribuidas de lunes a viernes de 09:00 a 14:00. La remuneración se ajustará a lo estipulado por el convenio colectivo aplicable.",Cáceres,Todos
Administrativo,Domestiko,España,No especificado,+ 30 d,"3,9","Buscamos una persona con experiencia administrativa para un puesto con contrato indefinido y jornada completa. Es fundamental que domines el paquete de ofimática para poder desarrollar las tareas diarias.

Las responsabilidades del puesto incluirán la gestión integral de presupuestos, el control de facturación y la tramitación de pedidos. Se espera un manejo eficiente de estas áreas para el correcto funcionamiento del día a día.

Esta posición se encuentra en [object Object] y ofrece una oportunidad para desarrollarse profesionalmente en un entorno dinámico.",Cáceres,Todos
Dependiente de tienda,Domestiko,España,No especificado,+ 30 d,"3,9","Se busca personal para trabajar en tienda, con responsabilidades clave en la atención directa al público. La tarea principal consistirá en ofrecer un asesoramiento detallado y personalizado a cada cliente, resolviendo sus dudas y guiándolos en su compra.

Además de la atención al cliente, el puesto implica la gestión completa de la caja registradora. Esto abarca desde la apertura y el control inicial, pasando por el registro de todas las transacciones de cobro, hasta el cierre y cuadre de caja al final de la jornada.

También será necesario encargarse de la reposición de los productos en el área de ventas y realizar un control exhaustivo del inventario. El objetivo es asegurar que siempre haya suficiente stock disponible para satisfacer la demanda de los clientes. Las condiciones incluyen un contrato indefinido a tiempo parcial, con un horario establecido de 09:30 a 14:00.",Cáceres,Todos
Mozo/a de almacén,Domestiko,España,1 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Buscamos a una persona responsable para trabajar como mozo/a de almacén. Las principales tareas incluirán la carga y descarga de todo tipo de productos. También serás responsable de la correcta organización y el almacenamiento de la mercancía en nuestras cámaras frigoríficas, así como en las áreas designadas para almacenamiento y en los camiones de reparto.

Además, te encargarás de la preparación y entrega de pedidos, tanto a clientes particulares como a empresas. Será importante mantener las áreas de trabajo limpias y ordenadas para asegurar un ambiente seguro y eficiente.

Se ofrece un contrato laboral temporal que puede prorrogarse, con la posibilidad de convertirse en indefinido. No es necesario tener experiencia previa, aunque se valorará positivamente. Tampoco se requiere formación específica, pero su posesión será un plus. El nivel de español requerido es C2, y se necesita carnet de conducir B. Se requiere disponibilidad inmediata y ser mayor de edad. La remuneración bruta mensual es de 1381 euros, e incluye transporte según convenio y otros incentivos y beneficios también contemplados en el convenio.",Cáceres,Todos
Comercial,"Disanfrío, S.L.",Plasencia,21 mil € - 26 mil € (Proporcionado por la empresa),+ 30 d,"3,9","Disanfrío, S.L.


Plasencia (Cáceres)



Experiencia

No se requiere experiencia

Salario

Entre 21.000 y 26.000€ Brutos/anuales

Área - Puesto

Comercial, ventas

Comercial
Comercial Alimentación
Categoría o nivel

Empleado/a

Vacantes

1

Inscritos

6

Contrato

Contrato Indefinido

Jornada

Completa


Proceso de selección continuo.

Funciones

Importante empresa del sector de la alimentación precisa comerciales para la localidad de Plasencia. Comenzará con una cartera de clientes ya existentes y las funciones a realizar serán: - Gestión de clientes actuales - Ampliación de la cartera de clientes

Requisitos

- Dedicación exclusiva - Imprescindible experiencia como comercial - Residencia en Plasencia - Buena presencia - Don de gentes

Se ofrece

- Vehículo de empresa - Sueldo fijo + comisiones - Formación a cargo de la empresa - Contrato indefinido",Cáceres,Todos
