Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Business Development Representative,Harte Hanks,España,No especificado,24 horas,"3,4","We are looking to connect with motivated and commercially minded Business Development Representatives to support and grow our sales teams. These roles focus on identifying, engaging,and qualifying potential customers across different markets and languages, while working closely with sales and marketing teams.

As we continue to expand, we are also interested in building relationships with professionals who may be open to future opportunities and long-term collaboration as our teams grow.

Responsibilities:

Engage with prospective customers through a combination of inbound and outbound activities, including calls, emails, social channels, and other digital touchpoints
Qualify leads by understanding customer needs, challenges, and potential fit
Conduct initial discovery conversations and introduce relevant solutions
Maintain accurate and up-to-date records of interactions in CRM systems
Collaborate closely with Sales, Marketing, and other internal stakeholders to align on messaging and target markets
Support pipeline development by consistently generating and nurturing new business opportunities
Represent the company professionally across different regions, cultures, and languages
Stay informed about market trends, customer segments, and competitive landscapes
Contribute ideas and feedback to improve outreach strategies and sales processes

Required Technical and Professional Expertise:

1–3 years of experience in inbound and/or outbound business development, sales development, or a similar customer-facing role.
Proven success in prospecting and breaking into net new accounts using creative, multi-channel outreach.
Competitive and goal-oriented mindset with a strong desire to succeed.
Excellent written and verbal communication skills.
Adaptable and comfortable navigating ambiguity in a fast-paced, evolving sales environment.
Experience with CRM and sales engagement tools such as Salesforce, Outreach, ZoomInfo and LinkedIn Sales Navigator.
Self-starter with strong time management, organizational, and prioritization skills.
Applicants must have fluent or native English, Spanish, French, German, Italian,
Dutch or Portuguese.
Based in Valencia, with ability to work effectively in a hybrid setup.

Growth & Collaboration:

These openings offer opportunities to grow alongside the business, with potential to take on broader responsibilities, specialize in specific markets, or move into more senior commercial roles over time. Even if the timing is not immediate, we welcome conversations with professionals who are interested in exploring future opportunities to collaborate as our multilingual sales teams continue to expand.

Harte Hanks is a global marketing services firm specializing in multi-channel marketing solutions that connect our clients with their customers in powerful ways. Experts in defining, executing, and optimizing the customer journey, Harte Hanks offers end-to-end marketing services including consulting, strategic assessment, data, analytics, digital, social, mobile, print, direct mail, and contact center. From visionary thinking to tactical execution Harte Hanks delivers smarter customer interactions for some of the world’s leading brands.

At Harte Hanks, we believe in creating a workplace where everyone has an equal chance to succeed, no matter their race, colour, religion, age, gender, nationality, disability, sexual orientation, gender identity and expression, veteran status, or any other protected characteristics. We embrace diversity and inclusivity, and we encourage you to showcase your individual strengths and experiences. Let's unleash your skills and expertise and make a positive impact together.

Job Type: Full-time

Work Location: In person",Todas,Ventas
Jefe de Equipo Comercial,Sector Alarm,Gerona,2 mil € - 4 mil € (Proporcionado por la empresa),+ 30 d,"3,4","Estamos buscando a nuestro próximo Jefe de Equipo Comercial en Girona. Trabajarás para construir tu propio equipo de ventas y los ayudarás en su día a día para que alcancen su objetivo.

Sobre Nosotros: Sector Alarm es una empresa multinacional noruega con más de 25 años en el sector de la seguridad, pero llegamos a España hace tan solo cuatro años, ¿eso qué significa? ¡Que nos encontramos en pleno momento de expansión comercial! Por lo que necesitamos ampliar nuestra plantilla.

Sector Alarm en Barcelona: Estamos buscando Jefes de Equipo Comercial que se unan a nuestra oficina de Mataró. Necesitamos personas con muchas ganas de crecer, gestionar equipos y darlo todo en el día a día.

Funciones y tareas: Trabajarás para construir un equipo de hasta 14 comerciales con la ayuda del departamento de formación (SWA) y el equipo de reclutamiento comercial. Tu función será acompañarlos en su día a día y liderar con el ejemplo para que den su mejor versión cada día.

Realizarás cada mañana la reunión de ventas y fijarás los objetivos del día
Acompañarás y formarás a los nuevos miembros de tu equipo desde su primer día. Somos comerciales de calle y estarás con ellos cada día para que se conviertan en los mejores vendedores de la ciudad
Ayudarás y motivarás a los comerciales. Serás el referente para ellos
Participarás en reuniones junto con el Director Regional para identificar puntos de mejora en tu equipo
No tendrás objetivos de venta propio, sino que comisionarás por las ventas de tu equipo

Requisitos: ¿Quieres vivir la experiencia de trabajar en una multinacional en plena expansión? ¡Genial! Estos son los requisitos para poder aplicar al puesto de Jefe de Ventas:

Experiencia comercial en venta directa: creemos que hay que liderar con el ejemplo, por eso te pedimos que tengas al menos 1 año de experiencia comercial en calle
Valorable experiencia gestionando equipos (no es necesario, si buscas tu primera oportunidad no dudes en aplicar)
Capacidad de liderazgo y personalidad carismática: Dirigirás tu propio equipo y queremos que seas la persona en la que ellos se orienten para crecer
Orientado a objetivos y logros: buscamos personas que tengan mentalidad ganadora y ganas de superación
Requisito imprescindible carnet de conducir B. No se valorarán aquellas candidaturas que no dispongan de carnet de conducir coche vigente

Qué te ofrecemos: Aunque Sector Alarm es una empresa multinacional, conserva una cultura familiar desde sus inicios. ¡Es lo que nos hace diferentes! Por lo que contarás con las siguientes condiciones:

Salario Fijo + Comisión por las ventas de tu equipo: contamos con un atractivo plan salarial compuesto por un salario fijo y una variable en función de las ventas de tu equipo (¡sin límite!)
Coche de empresa y tarjeta de gasolina mensual: Desde tu primer día recibirás tu coche de empresa. No tienes que dejarlo en la oficina, puedes también utilizarlo para uso personal
Eventos de empresa, actividades de equipo y viajes internacionales: Cada año realizamos dos viajes para los mejores comerciales y jefes de Equipo de España ¿Te apetece visitar República Dominicana?
Formación y desarrollo a cargo de nuestro Equipo de Formación (SWA)

Tipo de puesto: Jornada completa

Sueldo: 1.600,00€-4.000,00€ al mes

Beneficios:

Coche de empresa
Eventos de la empresa
Flexibilidad horaria
Programa de formación

Experiencia:

Ventas directas (en calle): 1 año (Deseable)
Gestión de equipo: 1 año (Deseable)

Licencia/Certificación:

Carnet de conducir B (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Ventas
Ejecutivo de Ventas,RealAdvisor,Trabajo en remoto,2 mil € - 7 mil € (Proporcionado por la empresa),+ 30 d,"3,4","¡Estamos buscando BDR/AE para reforzar nuestro crecimiento! ¡Únete a RealAdvisor España!

¿Quiénes somos?

RealAdvisor es una startup suiza que ha logrado convertirse en líder en su mercado y revolucionar el sector inmobiliario con un producto altamente diferenciado y en plena expansión. Nuestro portal inmobiliario recibe más de 10 millones de visitantes únicos al año en los diversos mercados internacionales ya activos.

Información sobre el rol

Nuestro equipo de ventas es el motor que impulsa la adquisición y el compromiso de nuevos clientes para RealAdvisor en todo el mundo. Los BDR/AE son una élite de comerciales con habilidades que abarcan todo el ciclo de ventas, desde la prospección hasta la adquisición y el cierre de ventas. Dominan sus segmentos de mercado con un enfoque orientado a soluciones y utilizan su experiencia para ampliar nuestra base de clientes a una velocidad impresionante

Estamos buscando un Business Developer capaz de brindar una experiencia absolutamente excelente a nuestros clientes. Alguien que pueda identificar efectivamente las oportunidades, realizar prospecciones y avanzar los negocios a través del embudo de ventas, desde el cierre hasta la activación completa.

Si eres una persona motivada que ama los desafíos y actúa siempre con integridad, nos encantaría escucharte.

¿Qué harás?

Presentaciones comerciales: Presentaciones por videoconferencia de nuestro ecosistema inmobiliario y venta de nuestros servicios a las agencias inmobiliarias.
Dominio del producto: Adquisición de experiencia en el ecosistema de RealAdvisor, su posicionamiento en el mercado y las soluciones propuestas, para guiar a nuestros futuros clientes hacia la mejor solución.
Feedback: Colaboración y compartición de experiencias con otros equipos para continuar mejorando nuestras ofertas.
Utilizar la venta basada en soluciones: Utilización de estrategias que permitan comprender las necesidades de los clientes y comunicar de manera efectiva la propuesta de valor.
Calificación y prospección de leads: Organización de reuniones de ventas a través de acciones outbound, gestionando simultáneamente los prospectos provenientes de nuestro canal SDR y de iniciativas inbound.

Perfil buscado

Obligatorio:

Gestión del tiempo y de prioridades: Organización rigurosa para optimizar la planificación, la prospección y el seguimiento de citas
Autonomía y colaboración: Habilidad para trabajar de forma independiente e integrarse eficazmente en un equipo multidisciplinario
Orientación a resultados: Historial comprobado en el logro y superación de objetivos comerciales, con un enfoque proactivo y estratégico.
Análisis de necesidades y propuesta de soluciones: Capacidad para identificar rápidamente las demandas de los clientes y adaptar la oferta comercial en consecuencia.
Dominio de herramientas CRM:Experiencia demostrada en el uso de soluciones como Salesforce, HubSpot o Zoho, lo que permite optimizar el seguimiento de clientes y la prospección.

Opcional:

Experiencia comprobada en el sector inmobiliario.
Historial exitoso en una startup.
Dominio bilingüe en al menos, uno de los siguientes idiomas: alemán o inglés.

Crecimiento y Desarrollo:

Oportunidades para avanzar rápidamente, asumir roles de liderazgo y potenciar el desarrollo de tu equipo.
Remuneración basada exclusivamente en comisión.
Bonos vinculados al cumplimiento de objetivos.
Compromiso mínimo de 35 horas semanales.

Esta es una de esas oportunidades que no se presentan todos los días. Si estás listo para unirte a una empresa en pleno crecimiento y maximizar tu potencial de ingresos, RealAdvisor es el lugar para ti.

¿Interesado? No alcanzamos éxitos ambiciosos por casualidad, solo trabajamos con los mejores. Si crees que eres uno de ellos, envíanos tu perfil y únete a nosotros en este emocionante viaje.

Tipo de puesto: Jornada completa

Sueldo: 1.500,00€-7.000,00€ al mes

Ubicación del trabajo: Empleo remoto",Todas,Ventas
sales representative,minnotek,Trabajo en remoto,"132,00 € Por hora (Proporcionado por la empresa)",2 días,"3,4","Hola !
Somos Osmile Taiwan, una marca de electrónica de consumo, y actualmente buscamos un representante de ventas basado en España para ayudarnos a desarrollar el mercado español.

Este es un puesto remoto y flexible. Podrás gestionar tu propio horario y tu estrategia de ventas.

Tu misión será introducir y promocionar nuestros productos en España. Tienes total libertad para contactar con hospitales, clínicas, residencias de mayores, tiendas minoristas u otros canales adecuados.

Este puesto funciona bajo un modelo de comisiones, ofreciendo una remuneración competitiva por cada venta exitosa. No hay horario fijo ni se requiere un mínimo de horas.

Este rol es ideal para alguien que:

Resida actualmente en España.

Se sienta cómodo trabajando a comisión.

Tenga experiencia o interés en ventas, atención al cliente o desarrollo de negocio.

Nota importante: No estamos interesados en comprar listas de clientes (leads). Buscamos a una persona que pueda desarrollar el mercado activamente.

Si estás interesado, por favor preséntate y cuéntanos brevemente cómo abordarías el mercado español.

Tipo de puesto: Jornada completa, Media jornada, Contrato temporal, Autónomo
Duración del contrato: 12 meses

Sueldo: A partir de 132,00€ la hora

Horas previstas: 8 a la semana

Ubicación del trabajo: Empleo remoto",Todas,Ventas
Representante de ventas junior/Junior Sales Representative - Madrid,Selleck Chemicals GmbH,Madrid,2 mil € (Proporcionado por la empresa),+ 30 d,"3,4","Lanza Tu Carrera en la Industria de Ciencias de la Vida con Propósito y Crecimiento

¿Eres un profesional motivado y receptivo listo para hacer un impacto? En Selleck Chemicals, no solo vendemos; empoderamos a investigadores de todo el mundo para que avancen en descubrimientos innovadores en cáncer, neurociencia, inmunología y más.

Estamos contratando Representantes de Ventas/ Ejecutivos de Ventas/ Promotores de Ventas/ Gerentes de Cuenta/ Especialistas en Desarrollo de Negocios/ Representantes de Atención al Cliente de alto potencial y nivel inicial para unirse a nuestro equipo de ventas en rápido crecimiento. Esta es una oportunidad rara para ingresar a la industria biotecnológica; no se requiere formación científica. Buscamos comunicadores fuertes con ambición, profesionalismo y una pasión por tener éxito.

Sobre Selleck Chemicals

Selleck es un líder global en inhibidores de pequeñas moléculas y bioquímicos, apoyando a las principales compañías farmacéuticas, universidades e instituciones de investigación del mundo. Con un catálogo de más de 220,000 productos y presencia en más de 50 países, habilitamos investigaciones que salvan vidas todos los días.

Lo Que Harás

Como Representante de Ventas, serás la cara de Selleck Chemicals en tu territorio, construyendo relaciones de confianza con investigadores, científicos y equipos de compras en instituciones académicas líderes, empresas biotecnológicas y centros médicos.

Responsabilidades Clave:

Gestionar y hacer crecer un territorio regional de clientes académicos y biotecnológicos.
Realizar reuniones presenciales y virtuales con investigadores para discutir su trabajo e identificar productos relevantes.
Hacer seguimiento de oportunidades y proporcionar cotizaciones, información técnica y recomendaciones de productos.
Mantener un pipeline de oportunidades utilizando herramientas de CRM y contacto regular.
Colaborar con equipos internos para asegurar un cumplimiento oportuno y satisfacción del cliente.
Mantenerse al día sobre el conocimiento de productos y tendencias clave en la investigación de ciencias de la vida.

Compensación y Beneficios

Base + 5% de Comisión sobre todos los nuevos pedidos generados por encima de 5k (potencial de ganancias ilimitado).
Capacitación: Capacitación completa, educación sobre productos y coaching de ventas proporcionados.
Trayectoria Profesional: Oportunidades de crecimiento rápido para los mejores desempeños.
Ambiente de Trabajo: Trabajo remoto con visitas presenciales dentro de tu territorio asignado.
Misión: Contribuir a la investigación científica y la innovación a escala global.

A Quién Buscamos

No necesitas un fondo en ciencia para tener éxito en este rol de ventas. Buscamos candidatos con:

Fuertes habilidades de comunicación e interpersonales.
Profesionalismo y un enfoque consultivo centrado en el cliente.
Alta motivación, disciplina y responsabilidad.
Capacidad para trabajar de forma independiente y mantenerse organizado.
Mentalidad de aprendizaje y apertura a la retroalimentación.

¿Por Qué Unirte a Selleck Chemicals?

Esto es más que un rol de ventas; es una oportunidad para apoyar directamente avances científicos en cáncer, enfermedades raras, neurociencia y más. Tendrás autonomía en tu región, relaciones significativas con los clientes y un camino claro hacia el avance profesional.

Aplica Hoy

Si estás listo para crecer, contribuir y ser parte de algo impactante, queremos saber de ti. Envía tu solicitud y da el primer paso hacia una carrera en ventas biotecnológicas con Selleck Chemicals.

Tipo de puesto: Jornada completa, Autónomo
Duración del contrato: 12 meses

Sueldo: A partir de 2.300,00€ al mes

Beneficios:

Flexibilidad horaria
Programa de formación

Idioma:

Inglés (Obligatorio)
Español (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Ventas
Asistente De Ventas A Tiempo Parcial - Pamplona,Sports Direct,Pamplona,No especificado,+ 30 d,"3,4","Descripción de la empresa


Sports Direct forma parte del Grupo Frasers. Desde sus comienzos, como una pequeña tienda de deportes en Inglaterra, ha ido creciendo hasta convertirse en toda una potencia mundial del comercio minorista y online con todas las grandes marcas de deporte, ocio, gaming, y moda de lujo. Creemos que solo al arriesgar puede uno recibir las verdaderas recompensas y, es por esto, que nunca nos han asustado los cambios y avances de la industria minorista, y por lo que hemos podido diversificar nuestro portfolio y mejorar nuestras tiendas. No nos quedamos de brazos cruzados y no dudamos a la hora de actuar.

Este éxito se debe, en parte, al gran equipo de trabajadores con el que contamos, con su motivación, pasión y dinamismo. El crecimiento de la empresa ha traído consigo más oportunidades de trabajo, ¡así que hemos decidido buscar un/a nuevo/a Asistente De Ventas A Tiempo Parcial que se una al equipo y forme parte de nuestro éxito en Europa!


Descripción del empleo


Descripción del puesto:

Como parte del equipo de SportsDirect trabajarás bajo el mando de un supervisor que te ayudará a sacar todo tu potencial y a explorar todo un mundo de posibilidades.

Necesitamos que contribuyas a mejorar el rendimiento de la tienda aprovechando al máximo todas las oportunidades de venta;
Que actúes como un verdadero ejemplo de la cultura y los valores de la empresa, todo un embajador de SportsDirect;
Que cumplas con todas las expectativas del cliente y le brindes una atención excepcional;
Que gestiones las entregas y el abastecimiento de la tienda de forma eficiente;
Y que mantengas la tienda y el almacén en las condiciones estándares de la empresa.

Requisitos


Cualificaciones

El candidato/a ideal:

Es fiable y flexible para poder satisfacer las necesidades de la tienda;
Es responsable y honesto;
Comparte nuestra pasión por la venta al por menor y la atención al cliente;
Comparte los valores y la cultura de SportsDirect tanto fuera como dentro del trabajo.

Información adicional


Información adicional:

Una oportunidad como esta en SportsDirect es para gente atrevida y trae consigo un potencial grandísimo y muchísima experiencia. Para sacarle todo el partido necesitarás vivir de acuerdo con los valores y principios de la empresa:

Think without limits - Piensa rápido, sin miedo y anima al equipo para que te siga.
Own it and back yourself - Domina los principios básicos, domina tu función y domina el resultado
Be Relevant - Debes ser relevante para nuestro equipo, nuestros socios y el planeta.


A cambio recibirás:

Salario Competitivo
Flexibilidad Horaria
Sistema de Incentivos en una selección de productos
Buen ambiente laboral
Un descuento de empleado del 20% en todas las tiendas SportsDirect.",Todas,Ventas
Ejecutivo de Ventas,MOOG Cleaning Systems,España,26 mil € - 42 mil € (Proporcionado por la empresa),+ 30 d,"3,4","Sistemas de Limpieza de Alta Presión, S.L.| El fabricante suizo competente y líder de equipos y sistemas automáticos de limpieza de depósitos y de alta presión.

Para nuestro departamento comercial en Cintruénigo (Navarra), buscamos una persona comprometida y motivada con efecto inmediato o a convenir.

Sales Manager ES, PT & South America 100% (f/m)

Su área de trabajo

§ Será responsable de la distribución activa de nuestros productos de alta calidad y de asesorar de forma competente a los clientes de la zona de ventas (ES, PT y Sudamérica).

§ Como primer punto de contacto para los proyectos en curso, también encontrará tiempo para captar nuevos clientes y nuevos proyectos.

§ Es responsable de aumentar las ventas de forma sostenible en su territorio de ventas.

§ Junto con el CSO, desarrollará estrategias de ventas y medidas de promoción de ventas, así como actividades de marketing.

§ Seguimiento de la evolución del mercado en el área de ventas y aprovechamiento del nuevo potencial resultante.

§ Asistencia completa y competente a nuestros clientes

§ Está presente en ferias y exposiciones

Tu perfil

§ Formación técnica básica

§ Haber completado con éxito una formación técnica o de gestión empresarial

§ Primera experiencia profesional en un puesto orientado a las ventas con conocimientos técnicos

§ Se valorarán los conocimientos sectoriales en ingeniería de instalaciones, tecnología de fluidos (accesorios, bombas, depósitos, etc.).

§ Impresionas por tu seguridad en ti mismo y por tu carácter amistoso y comunicativo.

§ Sentido del trato con diferentes interlocutores y confianza en sí mismo.

§ Alta orientación al cliente, afinidad a las ventas y capacidad de negociación

§ Forma de trabajar independiente y estructurada, gran capacidad de recuperación, capacidad para coordinar tareas diversas y extensas, gran capacidad para trabajar en equipo.

§ Alta disponibilidad para viajar (80%)

§ Buenos conocimientos de MS Office y aplicaciones ERP

§ Además de español, domina el inglés, se valorarán conocimientos básicos de otros idiomas como alemán o francés.

Nuestra oferta

Le ofrecemos un puesto de trabajo muy responsable, independiente y variado, con mucha libertad creativa y responsabilidad en una empresa tecnológicamente puntera, combinado con el ambiente personal de una empresa familiar suiza. Tenemos éxito en todo el mundo con nuestros productos.

¿Le interesa?

Envíe su solicitud a: Sistemas de Limpieza de Alta Presión, S.L.*| Sra. Svetla Laskova I svetla.laskova@moog.ch*

Tipo de puesto: Jornada completa

Sueldo: 25.800,00€-42.000,00€ al año

Beneficios:

Coche de empresa
Flexibilidad horaria
Teléfono de empresa

Ubicación del trabajo: Teletrabajo híbrido en 31592 Cintruénigo, Navarra provincia",Todas,Ventas
Agente de ventas,Mi Prestamo,España,18 mil € (Proporcionado por la empresa),+ 30 d,"3,4","¡ÚNETE A NUESTRO EQUIPO COMO AGENTE DE VENTAS EN ""MI PRÉSTAMO""!

¿Tienes pasión por las ventas y te gustaría desarrollarte en un entorno dinámico y en crecimiento? ¡Entonces, esta oportunidad es para ti!
En ""Mi Préstamo"", líder en el sector de microcréditos off-line en Valencia, estamos buscando un Agente de Ventas entusiasta y proactivo para unirse a nuestro equipo. La persona ideal será responsable de la venta y gestión de microcréditos.

Buscamos agentes para El Ejido.

Responsabilidades:

Promocionar y vender nuestros productos de microcréditos a clientes potenciales.
Gestionar y mantener relaciones con los clientes existentes.
Realizar el seguimiento post venta de los microcréditos otorgados.
Asesorar a los clientes sobre las mejores opciones de financiamiento disponibles.
Alcanzar y superar los objetivos de ventas establecidos por la empresa.
Participar en la mejora continua de los procesos de ventas y servicio al cliente.
Requisitos:
Experiencia previa en ventas, preferiblemente en el sector financiero.
Excelentes habilidades de comunicación y negociación.
Capacidad para trabajar de manera autónoma y en equipo.
Actitud proactiva y orientada a resultados.
Conocimientos básicos de herramientas informáticas y de gestión de ventas.

Ofrecemos: Si estás interesado en formar parte de una empresa innovadora y en constante crecimiento, ¡nos encantaría conocerte!

Muy buen ambiente laboral: Formarás parte de un equipo colaborativo y motivado.
Capacidad de crecimiento: Oportunidades de desarrollo profesional dentro de la corporación.
Formación continua: Programas de capacitación para mejorar tus habilidades y conocimientos.
Compensación competitiva: Salario base más comisiones atractivas.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: A partir de 18.200,00€ al año

Beneficios:

Comidas en la empresa
Eventos de la empresa

Preguntas para la solicitud:

¿Vives en El Ejido?

Si la respuesta es no, ¿cuanto tiempo necesitas para llegar a El Ejido?

Experiencia:

Ventas: 1 año (Obligatorio)
Captación de clientes: 1 año (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Ventas
Comercial de ventas,Smartfix Tecnología & Innovación,Tudela,No especificado,+ 30 d,"3,4","Oferta de Empleo: Comercial de Ventas

Ubicación: Tudela Empresa: Smartfix Tecnología E Innovación Sector: industria

Descripción del Puesto:

En Smartfix, empresa líder en la fabricación y distribución de soluciones de fijación, buscamos incorporar un Comercial de Ventas para toda España. La persona seleccionada será la encargada de gestionar y ampliar la cartera de clientes en la región, asegurando el crecimiento de las ventas y la fidelización de los clientes actuales en el sector industrial, automoción, energías renovables….

Responsabilidades:

Desarrollar e implementar estrategias comerciales para aumentar la presencia de la empresa en la zona asignada.
Visitar clientes actuales y potenciales.
Gestionar el ciclo completo de ventas, desde la prospección hasta el cierre de acuerdos.
Ofrecer asesoramiento técnico sobre nuestros productos y sus aplicaciones.
Coordinar con el equipo interno para garantizar un servicio óptimo a los clientes.
Elaborar informes de actividad y seguimiento de ventas.

Requisitos:

Experiencia mínima de 3 años en ventas en el sector industrial o afines.
Habilidad para la negociación y cierre de ventas.
Capacidad para trabajar de manera autónoma y organizada.
Disponibilidad para viajar de forma frecuente por España.
Conocimientos de herramientas digitales y CRM.
Carnet de conducir B.

Se Ofrece:

Posibilidad Contrato indefinido.
Sueldo fijo competitivo + comisiones por ventas.
Vehículo de empresa.
Dietas cubiertas.
Modelo de trabajo híbrido (combinación de teletrabajo y visitas presenciales a clientes con trabajo en la empresa).
Formación continua y oportunidades de crecimiento dentro de la empresa.

Si eres una persona proactiva, con pasión por las ventas y experiencia en el sector, ¡te estamos buscando!

¿Cómo aplicar? Envíanos tu CV y carta de presentación a carlosmartfixsl.com con el asunto ""Comercial de Ventas"".

¡Únete a nuestro equipo y crece con nosotros!

Tipo de puesto: Jornada completa

Beneficios:

Flexibilidad horaria

Ubicación del trabajo: Empleo presencial",Todas,Ventas
Sales Representative Spain,Groupe DLSI,España,30 mil € - 35 mil € (Proporcionado por la empresa),29 días,"3,4","Tercio RH is recruiting for its client, specialized in the manufacturing & distribution of connected medical devices, a SALES REPRESENTATIVE SPAIN :

Responsibilities:

Cold calling, door-to-door, and digital prospecting (Google, LinkedIn, Instagram).
Client visits and product presentations; technical demos preferred.
Experience in medical devices, software, or related services is a plus.
Strong networking and time-management skills.
Comfortable using and training clients on software.
Willingness to travel in Madrid and the Central Area.

Additional Information:

Travel: 1–3 overnight stays.
Trade fairs and congresses (3–6 per year, some weekends).
5+ years of sales experience preferred.

Values:

Corporate-minded, loyal, honest, and hard-working

Job Type: Permanent

Pay: 30,000.00€ - 35,000.00€ per year

Work Location: On the road",Todas,Ventas
