Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
#BECA-AHE Material Support Commercial Helicopters Trainee,Airbus,España,No especificado,+ 30 d,"4,2","Job Description:

Misión:

Apoyo de las tareas asociadas a la reparación de componentes desde su recepción por parte del cliente, relación con centros reparadores, seguimiento del proceso y entrega a cliente del material reparado.

Tareas:

Seguimiento y soporte de notificaciones de servicio analizando el flujo que mejor aplique a cada caso.
Apoyo en la búsqueda y solicitud de ofertas a centros reparadores
Colaboración en la creación y seguimiento de ofertas a cliente
Apoyo en resolución de discrepancias
Colaboración en la gestión de transportes, tanto para el envío a centro reparador como a la vuelta del componente.
Seguimiento de avance y coordinación con AH / AHD
Apoyo en la creación y envío de reporte de estado a cliente

Perfil:

Nivel medio de inglés
Orientación al cliente
Capacidad para trabajar en equipo
Alta reactividad, agilidad y capacidad de análisis de prioridades
Capacidad para trabajar bajo la presión del cliente.

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

Company:
Airbus Helicopters España, SA

Employment Type:
Internship
-

Experience Level:
Student

Job Family:
Support to Management

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.

Airbus is, and always has been, committed to equal opportunities for all. As such, we will never ask for any type of monetary exchange in the frame of a recruitment process. Any impersonation of Airbus to do so should be reported to emsom@airbus.com .

At Airbus, we support you to work, connect and collaborate more easily and flexibly. Wherever possible, we foster flexible working arrangements to stimulate innovative thinking.",Albacete,Todos
Cocinero/a Centro Tercera Edad. Ref. SCCNR,Serunion,España,No especificado,3 días,"4,2","Descripción:

En Serunion, empresa de restauración colectiva con más de 30 años de experiencia en el sector y líder en el mercado, buscamos a un/a cocinero/a con experiencia demostrable, para incorporar a uno de nuestros centros sociosanitarios, ubicado en el municipio de Villarrobledo.

Buscamos construir un equipo diverso e inclusivo, valorando y respetando la diversidad y comprometidos con la igualdad de oportunidades en el acceso al empleo y desarrollo profesional.

Las principales funciones previstas son:

Preparar, cocinar y presentar platos de alta calidad según las recetas establecidas.
Gestionar la preparación de los ingredientes, asegurándose de que sean frescos y de alta calidad.
Colaborar con el equipo de cocina para planificar el menú y coordinar los pedidos de abastecimiento.
Supervisar y controlar la calidad de los ingredientes y los platos preparados.
Asegurarse de que todos los platos se presenten de manera atractiva y cumpliendo los tiempos de entrega.
Registros de APPCC.

Ofrecemos:

Horario: turno mañana o tarde rotativo, 1 día libre a la semana.
Jornada completa - 40 horas.
Incorporación inmediata.
Contrato temporal con opción de indefinido.

Una vez que te inscribas en la oferta, recibirás un mensaje por WhatsApp con un enlace para realizar tu entrevista virtual de forma rápida y sencilla con DANI. ¡Estate atento/a y prepárate para dar el siguiente paso en tu camino laboral con Serunion!

Requisitos:

Formación preferiblemente en Hostelería: Técnico Superior en Restauración o Técnico en Cocina.
Experiencia demostrable en sector hostelería, colectividades, restauración o afines.
Se valora disponer de 1 – 2 años de experiencia en funciones similares.
Persona resolutiva y con capacidad de comunicación.
Trabajo en equipo.",Albacete,Todos
Asesor/a Contable,Kolibri Consulting,España,22 mil € - 28 mil € (Proporcionado por la empresa),15 días,"4,2",N/A,Albacete,Todos
Cocinero/a colectividades. Ref SCCNR,Serunion,España,No especificado,10 días,"4,2","Descripción:

En Serunion, empresa de restauración colectiva con más de 30 años de experiencia en el sector y líder en el mercado, buscamos incorporar un/a Cocinero/a con experiencia en colectividades.

Las principales funciones serán las siguientes:

Disponer adecuadamente las herramientas, utensilios y materiales de trabajo.
Organizar neveras, armarios.
Limpiar todos los utensilios utilizados para la elaboración de las comidas (potas, bandejas, cacerolas, cazos, espumaderas, cuchillos, etc.
Elaborar materia prima (patatas, tomates, lechuga, pimientos, cebollas, ajos, huevos, etc...)
Preparar fondos, ensaladas, salsas y participar en la elaboración de los inventarios.
Colaborar con el Jefe de cocina en el servicio.
Limpiar y ordenar su puesto de trabajo y colaborar en el arreglo general de la cocina.
Limpieza de zonas de comunes.

Ofrecemos:

Jornada: lunes a jueves de 8:00-16:00 (80% de jornada).
Salario según convenio colectividades.
Descanso 2 días (fines de semana) no se trabaja festivos.
Vacaciones escolares: Navidad (19 diciembre / 6 enero); Semana Santa (30 marzo / 6 abril) y 3 semanas en agosto (25 julio / 16 agosto)
Contrato de sustitución (baja larga duración), con po9sisbilidad de continuidad.

Una vez que te inscribas en la oferta, recibirás un mensaje por WhatsApp con un enlace para realizar tu entrevista virtual de forma rápida y sencilla con DANI. ¡Estate atento/a y prepárate para dar el siguiente paso en tu camino laboral con Serunion!

En Serunion, queremos construir un equipo diverso y comprometido, donde todas las personas tengan la oportunidad de desarrollar su potencial y contribuir al éxito de nuestra empresa. ¡Te animamos a que te postules y seas parte de nuestro equipo inclusivo!

Requisitos:

Imprescindible mínimo de 2 años de experiencia en cocina.
Experiencia trabajando en cocinas de alto volumen de producción.
Formación preferiblemente en Hostelería o Turismo.
Clara orientación al cliente.
Flexibilidad en todo tipo de tareas.",Albacete,Todos
Electrician Proto-MKIII,Airbus,España,No especificado,21 días,"4,2","Job Description:

Electric routing and systems installations during the upgrade phase for prototypes Tiger MKIII.

More than 5 years working in aeronautical (helicopter production activity or/and maintenance).

Experience in the helicopter Tiger.
High learning capabilities and team work spirit.
Good level of English needed and French desirable.

LMA B1.3/B2 will be a plus.

These activities will be performed in the Airbus Helicopter Plant in Marignane (France) with a duration of 18 months.

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

Company:
Airbus Helicopters España, SA

Employment Type:
Permanent
-

Experience Level:
Professional

Job Family:
Electrician

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.

Airbus is, and always has been, committed to equal opportunities for all. As such, we will never ask for any type of monetary exchange in the frame of a recruitment process. Any impersonation of Airbus to do so should be reported to emsom@airbus.com .

At Airbus, we support you to work, connect and collaborate more easily and flexibly. Wherever possible, we foster flexible working arrangements to stimulate innovative thinking.",Albacete,Todos
ENTRENADOR PERSONAL AUTÓNOMO ALBACETE,Basic-Fit,España,No especificado,9 días,"4,2","nos encontramos en plena fase de expansión, abriendo nuevos centros con muchas posibilidades laborales de promoción interna.

Estamos en búsqueda continua de perfiles que se desarrollan en el entrenamiento personal.

¿Eres entrenador personal con pasión por el fitness o quieres serlo y tienes ganas de crecer profesionalmente?

¡Estamos buscando entrenadores personales freelance para unirse a nuestro equipo en Basic-Fit!

Nos encontramos en plena expansión y queremos incorporar entrenadores motivados y comprometidos.

Si te encanta ayudar a otros a alcanzar sus metas y quieres tener flexibilidad, ¡esta es tu oportunidad!

CONDICIONES QUE OFRECEMOS PARA FREELANCE:

Firma de un contrato anual renovable de año en año.

Tener el certificado de alta como autónomo.

El fee mensual es de 300€ más IVA.

En el fee mensual entra la posibilidad de entrenamiento en todas las áreas del club excepto clases de actividades dirigidas, así como el Wifi o gastos de cualquier suministro.

No tienes exclusividad en el club como entrenador personal.

Tu perfil aparecerá en WEB, NARROW CASTING, APP para poder generar negocio.

Tendrás acceso a una plataforma interna con herramientas para desarrollar su negocio y mejorar en ventas, administración y Marketing

Te damos soporte desde Partners para todo el proceso de alta y para comenzar a operar los primeros meses.

Te ponemos en contacto con empresas para que te den soportes de software y formación con las mejores condiciones del mercado.

Eres dueño de tu negocio y como tal decides tu horario, precios y servicios a ofrecer.

Tienes una suscripción gratuita para entrenar en la red de Gimnasios Basic Fit.

Como entrenador/a decides la indumentaria y el marketing a utilizar de manera local.

Si ya eres autónomo o tienes la intención de serlo, ponte en contacto con nosotros y te explicamos paso por paso como hacerlo.

¡No dudes en hacerlo!

Envía tu propuesta o CV a carlos.lopez@basic-fit.com",Albacete,Todos
Conductor de camión CE,TRANSPORTES GARCIA ASIS S.L.U,España,3 mil € (Proporcionado por la empresa),21 días,"4,2","SE BUSCA CONDUCTOR PROFESIONAL PARA TRANSPORTE NACIONAL E INTERNACIONAL, UN TRATO INIGUALABLE CON UN SUELDO MUY BUENO TRABAJANDO DE LUNES A VIERNES

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 2.800,00€-3.200,00€ al mes

Beneficios:

Opción a contrato indefinido
Teléfono de empresa

Ubicación del trabajo: Viajes periódicos",Albacete,Todos
Técnico de campo - maquinaria pesada,Vermeer,España,No especificado,3 días,"4,2","Buscamos Mecánico de Campo: Especialista en Tecnología Vermeer y Obra Pública

¿Te apasiona la maquinaria que realmente mueve el mundo? En Vermeer no buscamos a un mecánico de taller convencional. Buscamos a un especialista autónomo capaz de mantener nuestra flota de equipos especiales (Vermeer y maquinaria de obra pública) operando al 100% en cualquier lugar.

Tu rol: El guardián de la operatividad

Tu oficina será el terreno. Te encargarás de que los equipos no se detengan.

¿Qué perfil buscamos?

Experiencia en Maquinaria Especial: Valoramos mucho tu trayectoria en obra pública, especialmente con sistemas hidráulicos y eléctricos de alta complejidad.
Actitud Resolutiva (Lo más importante): En el campo surgen imprevistos. Necesitamos a alguien que no se bloquee, que busque soluciones y que tenga la iniciativa de ""sacar el trabajo adelante"".
Autonomía Real: Serás el responsable de tu unidad móvil. Gestionarás diagnósticos y reparaciones por tu cuenta, reportando resultados, no problemas.
Inglés Técnico: Los manuales y el software de diagnóstico de equipos como Vermeer suelen venir en inglés. Necesitamos que te sientas cómodo navegando en ellos.

Requisitos clave:

Conocimientos avanzados en hidráulica y lectura de esquemas eléctricos.
Capacidad de comunicación con el cliente final.
Disponibilidad para desplazamientos y carnet de conducir vigente.

¿Por qué unirte a nosotros?

Tecnología de punta: Trabajarás con máquinas líderes en el mercado mundial.
Independencia: Olvídate de estar encerrado. Gestiona tu día a día con total confianza por nuestra parte.
Equipamiento: Furgoneta de servicio totalmente equipada con herramientas de diagnóstico avanzadas.
Estabilidad y Proyección: Un puesto clave en una empresa que valora el conocimiento técnico especializado.

¿Estás listo para el reto?

Si tienes la experiencia, pero sobre todo la actitud para dominar equipos especiales, queremos hablar contigo.

Envía tu perfil a: info@vermeerespana.es Referencia: Mecánico Equipos Especiales.

Tipo de puesto: Jornada completa, Contrato indefinido

Beneficios:

Flexibilidad horaria

Ubicación del trabajo: Empleo presencial",Albacete,Todos
CONDUCTOR PERMISO C+ E,VISEVER S.L,España,25 mil € - 29 mil € (Proporcionado por la empresa),15 días,"4,2","Estamos en búsqueda de un conductor con permiso C.+E

Valorable por la empresa si posee CAP y ADR.

Se ofrece formación por parte de la empresa para la obtención del CAP o ADR, asi como en la obtención del permiso ""E"" en caso de que no se disponga del mismo.

Experiencia profesional deseable mínimo un año.

Se ofrece contrato estable con posilibidad de crecimiento.

Si cumples con los requisitos envianos tu CV.

Tipo de puesto: Jornada completa

Sueldo: 25.000,00€-29.000,00€ al año

Licencia/Certificación:

Carnet de conducir B (Deseable)
CAP (Deseable)

Ubicación del trabajo: Empleo presencial",Albacete,Todos
Administrativo,Domestiko,España,2 mil € (Proporcionado por la empresa),27 días,"4,2","Se busca perfil para realizar la gestión administrativa integral de cursos subvencionados, abarcando SEPE, FUNDAE y otros organismos autonómicos. Las responsabilidades incluyen la preparación y revisión de toda la documentación necesaria para la ejecución, el seguimiento y la justificación de las acciones formativas.

La persona seleccionada se encargará de la comunicación y coordinación con formadores, alumnado y las entidades que financian los cursos. También se gestionarán el control de inscripciones, la asistencia, las evaluaciones y el archivo documental. Además, se realizarán grabaciones y actualizaciones de datos en plataformas oficiales y se ofrecerá apoyo en auditorías y revisiones administrativas. Se elaborarán informes y se hará el seguimiento de expedientes formativos.

Se requiere una experiencia laboral mínima de 12 meses en puestos de técnico en departamentos administrativos y comerciales. El contrato será temporal con una duración de 5 meses y jornada indiferente, con una remuneración bruta mensual de 1.800 €, prorrateando pagas extraordinarias. El convenio aplicable será el de formación.",Albacete,Todos
