Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Asesor/a Contable,Kolibri Consulting,Huelva,22 mil € - 28 mil € (Proporcionado por la empresa),24 días,"3,9","Desde nuestra consultora de selección, buscamos un/a Asesor/a Contable con experiencia para unirse al equipo de una reconocida asesoría especializada en la gestión integral de pymes y autónomos a nivel nacional.

Si posee un profundo conocimiento de la normativa contable y fiscal española y busca un nuevo reto profesional, ¡le animamos a presentar su candidatura!

Funciones y Responsabilidades Principales:

El/La profesional seleccionado/a se responsabilizará de la gestión contable y fiscal de una cartera de clientes asignada, incluyendo:

Gestión Contable: Llevanza y supervisión de la contabilidad diaria, mensual y anual (aplicación estricta del Plan General Contable - PGC).
Obligaciones Fiscales: Elaboración, revisión y presentación de impuestos periódicos (IVA, IRPF, Impuesto de Sociedades, etc.).
Cierres: Preparación y depósito de Libros Oficiales y Cuentas Anuales en el Registro Mercantil.
Asesoramiento: Ofrecer soporte y asesoramiento especializado a los clientes en materia contable, mercantil y fiscal.
Tareas Auxiliares: Conciliaciones bancarias y elaboración de informes de gestión.

Requisitos Indispensables del Perfil:

Formación Académica: Grado/Licenciatura en Administración y Dirección de Empresas (ADE), Economía, Contabilidad y Finanzas o título universitario afín.
Experiencia: Experiencia demostrable y sólida adquirida previamente en Asesoría o Gestoría en el mercado español.
Conocimientos Técnicos:
Dominio experto del marco normativo contable y fiscal español.
Manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares) y de las plataformas de la AEAT (Agencia Tributaria).
Competencias: Organización, meticulosidad, capacidad para trabajar con autonomía y excelentes habilidades comunicativas para el trato con el cliente.

Condiciones de la Oferta:

Tipo de Contrato: Puesto estable con contrato indefinido.
Jornada Laboral: Completa (jornada completa).
Remuneración: Salario competitivo, negociable en función del valor y la experiencia aportada por el/la candidato/a.
Beneficios: Incorporación a un equipo profesional, excelente ambiente de trabajo y oportunidades de crecimiento y desarrollo profesional.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 22.000,00€-28.000,00€ al año

Beneficios:

Eventos de la empresa
Flexibilidad horaria
Jornada intensiva en verano
Jornada intensiva los viernes
Teletrabajo opcional

Ubicación del trabajo: Teletrabajo híbrido en Huelva, Huelva provincia (Huelva)",Huelva,Todos
Técnico de camiones Huelva Huelva,DAF,Huelva,No especificado,+ 30 d,"3,9","Técnico de camiones

¿Has trabajado como mecánico, técnico automotriz o incluso como mecánico de coches (o simplemente estás listo para un nuevo reto)? En DAF, damos la bienvenida a profesionales con una mentalidad técnica que quieran desarrollarse como técnico de camiones. Tener experiencia como mecánico de coches o técnico automotriz puede ser una gran base, pero lo que más importa es tu pasión por los camiones.

¿Estás ""Hecho para DAF""?

Perfecto, porque justo estamos buscando talento. En un concesionario DAF, trabajarás con camiones líderes del mercado para devolverlos a la carretera lo más rápido posible cuando requieran un mantenimiento y utilizarás los sistemas de taller más avanzados en vehículos equipados con tecnología de vanguardia. Si te gusta asumir responsabilidades, te invitamos a formar parte de un gran equipo en el concesionario DAF.

En función de tus conocimientos y experiencia actuales, y adaptado a los requisitos específicos del puesto, esto es lo que puedes esperar en tu trabajo diario:

Serás responsable de realizar diagnósticos rápidos y precisos utilizando herramientas de diagnóstico.
Trabajarás de forma independiente para realizar las tareas de mantenimiento y reparación de los vehículos y componentes DAF.
Realizarás diversas inspecciones (ITV, tacógrafo, etc.).
Ayudarás y asesorarás diariamente a los técnicos menos experimentados.
Realizarás las comprobaciones finales de los trabajos completados.

Esto es lo que estamos buscando:

Gente motivada para trabajar con camiones, ya sea en el taller o utilizando equipos de diagnóstico.
Gente motivada para desarrollar sus habilidades técnicas, como reparaciones de motores o solución de problemas eléctricos.
Gente motivada para aprender sobre la instalación de accesorios y la preparación de vehículos para la entrega.
Gente orgullosa de su trabajo, con una auténtica pasión por mantener los vehículos en las mejores condiciones.
Gente deseosa de mantener y ampliar sus conocimientos actualizados con los avances del sector.
Gente con una actitud positiva y entusiasmo por trabajar en equipo.
Valoramos la experiencia previa como mecánico de camiones, pero también damos la bienvenida a nuevos entusiastas.

¿Está DAF hecho para ti?

Esto es lo que garantizamos:

Responsabilidad individual y libertad de acción.
Salario competitivo y beneficios adicionales.
Muchas oportunidades de formación y posibilidades de promoción.

¿Estás hecho para DAF? Rellena el formulario que encontrarás en nuestro sitio web.",Huelva,Todos
Monitor/a deportivo,Grupo Deporocio,Ayamonte,No especificado,7 días,"3,9","Buscamos Monitor/a de Natación para incorporarse al equipo a mediados de marzo, para impartir clases de natación y actividades acuáticas con diferentes grupos de edad (bebés, infantil, adolescentes y adultos) y sesiones de aquagym.

Horario (14 horas semanales)

Lunes y miércoles (16:45 – 19:45)

16:45 – 17:30 · Natación Iniciación (6 años)
17:30 – 18:15 · Natación Iniciación (7 y 8 años)
18:15 – 19:00 · Natación Aprendizaje (9 a 11 años)
19:00 – 19:45 · Aquagym

Martes y jueves (16:45 – 20:45)

16:45 – 17:30 · Natación Bebés
17:30 – 18:15 · Natación Iniciación (5 años)
18:15 – 19:00 · Natación Aprendizaje (12 a 15 años)
19:00 – 19:45 · Aquagym
20:00 – 20:45 · Natación Adultos

Condiciones

Incorporación: mediados de marzo (puede variar +- 1 semana)
Jornada: 14 horas semanales
Salario: 503 € brutos/mes (según convenio, 14 h/semana)

Requisitos

Titulación/cualificación para impartir actividades acuáticas (monitor/a de natación o similar).
Experiencia con grupos infantiles y/o actividades dirigidas (valorable).
Actitud responsable, cercana y con ganas de trabajar en equipo.

Datos de contacto

a.campos@deporocio.es
722166462.

** Incorporación: Inmediata

Si te identificas con esta oferta y quieres formar parte de un equipo comprometido con el deporte y la educación, ¡nos encantará conocerte! **

Tipo de puesto: Contrato temporal, Contrato fijo discontinuo
Duración del contrato: 3 meses

Preguntas para la solicitud:

¿Tienes incorporación inmediata?
¿Tiene licenciatura INEF o grado en CC del deporte?

Educación:

Diplomatura/Grado (Obligatorio)

Ubicación del trabajo: Empleo presencial",Huelva,Todos
Supervisor de Calidad,Euroden S.L.,Huelva,No especificado,22 días,"3,9","Euroden Ingeniería te invita a participar en el proceso de Selección para el puesto de

Supervisor/a de Calidad

Puesto disponible para profesionales con experiencia comprobada en proyectos industriales, Oil&Gas o similar.

Su misión será asegurar el cumplimiento de estándares técnicos, normativos y de seguridad en cada etapa de la obra, garantizando la calidad de los materiales, procesos y entregables.

Principales Funciones y responsabilidades del puesto:

Supervisar la recepción, inspección y verificación de materiales conforme a normativas API, ASME y ASTM.
Controlar los procesos constructivos de soldadura, montaje e instalación eléctrica/instrumentación.
Coordinar pruebas y ensayos no destructivos (radiografías, hidrostáticas, etc.).
Registrar y gestionar documentación técnica, informes de calidad y certificados de materiales.
Identificar no conformidades y aplicar medidas correctivas.
Participar en auditorías internas y externas de calidad.
Velar por el cumplimiento de las normas de seguridad industrial y medioambientales.

Requisitos:

Formación técnica o universitaria en Ingeniería Industrial, Mecánica, Petroquímica o afines.
Mínimo 3 años de experiencia en supervisión de calidad en obras industriales (refinería, planta petroquímica o similar).
Conocimiento de normas internacionales: ISO 9001, ASME, API, ASTM.
Manejo de herramientas como SAP, MS Excel, AutoCAD.
Habilidad para liderar equipos, gestionar documentación técnica y resolver problemas en campo.

Competencias y habilidades:

Certificaciones en gestión de calidad (Ej. Auditor ISO, NDT)
Experiencia con metodologías Lean Construction o Six Sigma
Inglés técnico (lectura de especificaciones y reportes)

Contáctanos si es de tu interés.

Puedes realizar tu candidatura también en: https://euroden.odoo.com/jobs/supervisor-de-calidad-huelva-65

Te esperamos! Muchas gracias.

Tipo de puesto: Jornada completa

Posibilidad de trasladarse/mudarse:

Huelva, Huelva provincia: Desplazarse al trabajo sin problemas o planificar mudarse antes de comenzar a trabajar (Obligatorio)

Experiencia:

funciones similares: 3 años (Obligatorio)

Ubicación del trabajo: Empleo presencial",Huelva,Todos
Auxiliar de Cajas/Reposición,Carrefour,Cartaya,No especificado,3 días,"3,9","¡Hola! ¡Queremos conocerte!
¿Te apasiona el mundo del comercio? ¿Te preocupas por los detalles? ¿Te consideras una persona dinámica? ¡Te estábamos esperando!
Carrefour es una empresa líder en comercio de alimentación y distribución y queremos que inicies una carrera profesional llena de posibilidades con nuestros mejores profesionales.
Pretendemos que todos los días sean un aprendizaje, que crezcas y llegues tan lejos como quieras. Te ofrecemos formación a cargo de la empresa y la posibilidad de promocionar internamente para seguir creciendo con nosotros.
¿Qué buscamos?
Que nuestros clientes quieran volver y para ello hay que empezar por nuestros colaboradores. Nuestro objetivo es encontrar personas con don de gentes, dinámicas, con capacidad de aprendizaje y a las que les guste trabajar en equipo.
¿Cuáles serían tus funciones?

Aportar la ayuda que nuestros clientes necesiten en su recorrido por la tienda.
Te ocuparás del mantenimiento de la imagen de la tienda, organizar el almacén, cobrar en caja y reponer los productos, para dar a nuestros clientes el servicio que están buscando.

Nos encantará conocerte si cuentas con:

Educación Secundaria Obligatoria (formación mínima requerida).
Habilidades: orientación al cliente, trabajo en equipo, proactividad.
Se valora la experiencia previa pero no es imprescindible.
Incorporación a una gran compañía donde podrás crecer.
Descuento del 8% para ti y para 6 personas más en todos nuestros productos.
Formación continua para desarrollarte profesionalmente.
Programas que se preocupan por tu bienestar: Carrefour Life (actividades y eventos deportivos, descuentos y ventajas exclusivas).

En Carrefour apostamos por un espacio de trabajo idóneo para que cualquier persona con independencia de su género, orientación sexual, identidad y/o expresión de género, creencias, ideologías, origen, capacidades, entre otras, pueda desplegar todo su potencial.",Huelva,Todos
Vendedor/a Joyería - Huelva (22h),TOUS Jewelry,Huelva,No especificado,15 días,"3,9","Descripción:

¿Quieres formar parte de un equipo donde la colaboración y el buen rollo son la base de todo? ¿Disfrutas asesorando, creando estilismos únicos con producto exclusivo, y formando parte de los momentos especiales de tus clientes? Si es así…. ¡Sigue leyendo!

No dejes escapar esta oportunidad en nuestra tienda de Huelva.

Contrato Interinidad.
Jornada de turno rotativo, de 22h semanales.
L-D rotativo

¿Aceptas el reto?

El propósito de TOUS es crear un mundo de alegría, tanto para nuestros clientes como para nuestros equipos.

¿Qué te ofrecemos?

Espacio de creatividad: Pondrás en práctica tus habilidades y conocimientos ideando looks personalizados para cada cliente, ¡cada día será diferente!
Sé tú mismx: Queremos que seas auténticx y te sientas cómodx en tu faceta TOUS, por esto tendrás opción de elegir el uniforme que mejor te represente y lo podrás completar luciendo nuestrxs productos.
Equipo con alegría e ilusión: Si desprendes buenas vibras y buen rollo este es tu TEAM . El compañerismo y la calidad humana de nuestras personas son lo primero, nuestra prioridad es que el cliente se vaya siempre con una sonrisa.
Formación y Desarrollo: Estamos comprometidxs con tu desarrollo. Te formaremos de forma continua en nuestro producto, visual merchandising, customer experience, kpis y.… ¡mucho más! Para que te atrevas, aprendas y te retes cada día para brillar con nosotrxs.
Virtual coffee chats: tendrás conversaciones con parte del equipo directivo comercial dónde intercambiarás ideas, experiencias y proyectos.
TOUS Connect: ¡toda la información que necesitas con un solo clic! Contarás con una intranet corporativa para mantenerte al tanto de todo lo que está pasando en la compañía. Además, podrás compartir impresiones y experiencias a través de nuestra red social Yammer
30% de descuento en todos nuestros productos. Además, podrás disfrutar de ventas especiales durante todo el año. Si no lo eres ya, acabarás convirtiéndote en un #TOUSLover.

¿Qué te hará triunfar en esta posición?

Ser apasionadx del producto y de la moda. Si además te fascina el estilismo y ayudar a nuestrxs clientes a expresarse a través de sus looks, ¡el éxito es tuyo!
Si tienes experiencia como vendedor/a será ideal, pero si no es así ¡no te preocupes! te formaremos sobre el producto y te daremos tips para ofrecer una experiencia de compra única al cliente, ¡creemos en tu potencial!
Tener buenas habilidades comunicativas para poder conectar con nuestrxs clientes
Dominar idiomas te ayudará a conseguir más objetivos de venta ya que podrás atender a clientes internacionales.

Si quieres que la posición sea tuya, inscríbete ahora a la oferta.

Sé tú mism@, la clave del éxito es TU ACTITUD. Are you IN?

¡TE ESPERAMOS!",Huelva,Todos
Logístico/a Temporal 30h Rotativo Lepe,Leroy Merlin,Lepe,No especificado,9 días,"3,9","Nuestras Tiendas

El lugar donde demostramos, cara a cara, nuestro propósito. Si compartes este objetivo y tu satisfacción es conseguir que los clientes puedan dar vida a sus ideas y proyectos, este es tu sitio.

Formar parte del equipo de nuestras tiendas significa trabajar en un ambiente de co-creación donde vivir nuestros valores y propósito de empresa junto al cliente.

¿Te unes a nosotros?

Te lo enseñamos aquí en este vídeo:

Por esto contamos contigo como Operario/a logístico/a tienda donde tu misión principal será la de garantizar la correcta gestión de los flujos de mercancía, desde la entrada hasta la puesta a disposición del cliente en tienda o bien preparando su entrega a través de los diversos canales existentes.

Principales funciones


Flujos logísticos:

Efectuar la recepción, la separación y la mecanización de la mercancía que ingresa en la tienda para optimizar los flujos logísticos y su correcta disposición a sala de venta, a la sección de servicios y a los clientes.


Ubicación en fecha de los Pedidos Clientes generados en tienda para facilitar la gestión de dicha mercancía por parte de la sección de Servicios.


Control de mercancías:

Realizar el control físico de mercancías, inventarios en el almacén y gestión de la demarca de la tienda, con el fin de garantizar un stock correcto y sano.

Gestión de residuos:

Garantiza la gestión de residuos generados en la tienda dentro de los parámetros legales marcados por la compañía, con el fin de lograr los objetivos de responsabilidad social corporativa.


Mantenimiento zonas logísticas:

Mantener la zona de recepción y reserva de la tienda limpia respetando las normas de Seguridad con el objetivo de garantizar la seguridad en el tránsito de las zonas.


¿Qué ofrecemos?

Nuestro Propósito

En Leroy Merlin tenemos un propósito que da sentido a lo que somos y a todo lo que hacemos, una guía que es nuestro compromiso contigo y con el planeta. Y es que todo lo que te ofrecemos busca despertar en ti la motivación de crear entornos donde vivir mejor.

Porque estamos seguros de una cosa, si nos lo proponemos, cambiar el mundo está en nuestras manos y en las tuyas.

La Acción Social es uno de los pilares fundamentales de Leroy Merlin España, siendo un valor añadido para toda la empresa, pero también para la comunidad. A través de diversas acciones: proyectos de reforma y acondicionamiento, donaciones, productos solidarios, voluntariado corporativo y nuestra Convocatoria de Ayudas ""Hogares Dignos"", contribuimos a la construcción de un mundo y de una sociedad mejor.

¡Benefíciate! Por ser Leroy Merlin

Como colaborador/a de Leroy Merlin España tienes a tu disposición más de 70 beneficios y/o ventajas clasificados en 6 categorías, pensados para brindarte la mejor experiencia por ser parte de este gran equipo.

Te beneficiarás además de la Política de Compensación Flexible y de Beneficios ofrecidos por Leroy Merlin, como son la posibilidad de convertirte en accionista de la compañía, Seguro de Salud, ayudas en guardería, cheques restaurante y diversos descuentos con grandes colaboradores comerciales, entre otros.

Contarás con una retribución fija además de la participación en los resultados y beneficios.

¡Desarróllate!

¡Fórmate y desarróllate en una empresa multinacional! Encontrarás un gran ambiente de trabajo y dispondrás de autonomía para decidir y actuar, pudiendo participar en la toma de decisiones y en proyectos transversales.

El lugar para todxs

La Gestión de la Diversidad es un eje fundamental en nuestra filosofía de empresa. Es por esto que está incluida en el Chárter de Diversidad, un código de compromiso promovido por la Fundación para la Diversidad y apoyado por el Ministerio de Sanidad, Política Social e Igualdad. Con esto, nos reafirmamos en nuestro compromiso con el respeto al derecho de la inclusión de todas las personas y reconocemos los beneficios que nos brindan la diversidad cultural, demográfica y social.

Leroy Merlín España, S.L.U., declara su compromiso en el establecimiento y desarrollo de políticas que integren la igualdad entre mujeres y hombres, sin ningún tipo de discriminación, así como en el impulso y fomento de medidas para conseguir la igualdad efectiva en el seno de nuestra organización. Asumimos el principio de igualdad entre mujeres y hombres en todos y cada uno de los ámbitos en los que se desarrolla nuestra actividad y en el marco de la Responsabilidad social de nuestra Organización.

Si quieres desarrollar el trabajo que te gusta, nuestra puerta está abierta para ti. Aquí no entendemos de barreras.

TU TALENTO NO TIENE LÍMITES

Sí quieres conocer más información acerca de nuestro Propósito, valores y acciones y nuestras vacantes de empleo, dejamos a tu disposición nuestra Web de Empleo Corporativa Leroy Merlin España.

¡CAMBIAR NUESTRO MUNDO ESTÁ EN NUESTRAS MANOS!",Huelva,Todos
Vendedor 24h sustitución IT ECI HUELVA,Levi Strauss,Huelva,No especificado,24 horas,"3,9","About Us
LS&Co. is one of the most iconic companies in the world and a global leader in jeanswear. Here, you can be yourself and be part of something bigger. You can do what you love while staying true to who you are. Come find your fit — and your future — at LS&Co.
What You’ll Be Doing
Our Stylists are at the heart of the Levi’s® store experience. You’re not just selling jeans — you’re helping fans express themselves, feel confident, and find their perfect fit. Without our Stylists, the Levi’s® story wouldn’t come to life in-store.
Here’s How You’ll Make It Happen
Creating genuine connections with customers and delivering exceptional 1:1 service
Sharing product knowledge and styling advice that inspires confidence
Supporting store operations including tills, fitting rooms, and stock management
Maintaining strong visual merchandising and store presentation standards
Working with your team to achieve and exceed sales goals while keeping the store a welcoming place to shop
What You’ll Bring
A love for helping people express themselves through style and fashion
Strong communication skills and a positive, team-first attitude
Curiosity, adaptability, and a passion for learning and development
Previous retail or customer-facing experience is an advantage, but not essential
Pride in delivering high-quality service that reflects the values of the Levi’s® brand
Flexibility to work evenings, weekends, and bank holidays
LOCATION
Huelva, Spain
FULL TIME/PART TIME
Part time
Current LS&Co Employees, apply via your Workday account.",Huelva,Todos
Prácticas Formación Profesional,El Corte Inglés,Huelva,No especificado,+ 30 d,"3,9","Sabemos que el talento joven tiene el poder de transformar el futuro. Si estás buscando una oportunidad para aprender, crecer y dejar tu huella, este es tu momento.
A través de nuestros programas de prácticas y recién graduados, encontrarás un equipo dispuesto a acompañarte, y un entorno donde tus ideas cuentan y tu desarrollo es nuestra prioridad.

¿Quieres comenzar tu camino con nosotros? Descubre todo lo que podemos lograr juntos.

¡Únete a nuestro equipo y da el paso hacia el comienzo de tu carrera profesional!
El proyecto que te espera.
Buscamos estudiantes comprometidos que quieran vivir su primera experiencia profesional en un entorno dinámico y orientado al cliente. Podrás vivir una experiencia única como Personal en Prácticas en El Corte Inglés, acompañando a nuestros clientes en su experiencia de compra.
Funciones principales y requisitos.
Aplicar conocimientos y habilidades en un entorno laboral
Aprendizaje y mejora continua
Participar en las diferentes tareas asignadas por el tutor relacionadas con el área de estudio
Colaborar con el equipo de trabajo para alcanzar los objetivos y metas establecidas.
Te ofrecemos una variedad de beneficios sociales que contribuirán a tu bienestar.
Aprendizaje continuo: Acceso a programas de formación y desarrollo para potenciar tus habilidades y competencias desde el primer día.
Seguimiento personalizado.
Participarás en proyectos reales y con impacto en negocio.
Oportunidades de crecimiento y desarrollo.
Entorno diverso y multidisciplinar.
Formarás parte de una comunidad de talento joven con las que compartirás aprendizajes, retos y éxitos.
El futuro empieza hoy y queremos que formes parte de él.
Da el primer paso y construyamos juntos un camino lleno de experiencias.
Si cumples con los requisitos o crees que podrías ser parte de este proyecto, estamos deseando conocerte.",Huelva,Todos
Gorbernanta/e HOTEL 4*,Sitges Royal Rooms,España,2 mil € (Proporcionado por la empresa),+ 30 d,"3,9","ROYAL ROOMS



Islantilla (Huelva)



Experiencia

Al menos 1 año de experiencia

Salario

Retribución sin especificar

Área - Puesto

Hostelería, Turismo

Gobernanta
Categoría o nivel

Mandos Intermedios

Vacantes

1

Inscritos

2

Contrato

Contrato Indefinido

Jornada

Indiferente


Proceso de selección continuo.

Funciones

¡Buscamos Gobernanta/e para Hotel 4* en ISLANTILLA! ¿Te apasiona el mundo de la limpieza profesional y el entorno hotelero? ¿Te gustaría formar parte de un equipo dinámico en un hotel de 4 estrellas ubicado en Islantilla? ¡Entonces esta oportunidad es para ti! Actualmente Seleccionamos personal comprometido, detallista y con ganas de aportar lo mejor de sí en cada jornada. ¿Cuáles serán tus funciones? - Supervisión de tareas - Coordinar y organizar el trabajo de las camareras de piso, mozos de limpieza, etc. - Asignar habitaciones y turnos de trabajo. - Supervisión de habitaciones. - Control de inventario. - Trato directo con el director del hotel. - Velar por la calidad del servicio de un hotel de 4* superior.

Requisitos

- 1 año de experiencia Gestionando personal de Hotel - Incorporación inmediata. - Disponibilidad para turnos rotativo de lunes a domingo con dos días de descanso a la semana.

Se ofrece

- Incorporación a un equipo profesional y cercano. - Ambiente de trabajo colaborativo, donde cada detalle cuenta. - Contrato indefinido. - Horario: 40h/semanales de lunes a domingo con dos días de descanso rotativos semanales, según las necesidades del hotel. - Turno mañana/tarde - Salario Bruto mensual de 2.332,21€ - Incorporación inmediata.",Huelva,Todos
