Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
People Service Partner (m/f/d),TecAlliance,Barcelona,No especificado,17 días,"3,7","Human Relations · Multiple locations · Hybrid

People Service Partner (m/f/d)

Join our HR team NOW

We are TecAlliance — founded by more than 30 automotive aftermarket companies as a neutral Data‑as‑a‑Service market connector, serving as the neutral data terrain that interconnects them. With over 1,000 employees worldwide and customers in 140 countries, we enable the market — we never compete with it.

At TecAlliance, Human Relations consists of over 25 global colleagues across various specialties, including People Service Partners, Learning & Development, and Talent Acquisition. You would join Rebecca’s team as part of this group and collaborate closely with a truly international HR community. Wendy will support you as your mentor in her role as People Partner.

Our People Services Partners (official job title) act as site HR representatives and are at the core of our operations, serving as the main point of contact for employees at their locations. You handle employee inquiries and HR matters end-to-end and take care of employees across Europe, mostly for Spain, France & Italy.

So, what do you do?

A new employee is starting at your assigned countries? – Great! You’ll handle the initial offer, drafting contracts & onboarding and welcome the new colleague!

A colleague has questions about their contract, time tracking, or benefits? – You’re the first point of contact and can provide expert answers!

Are there conflicts or issues within a team that require HR attention? – You act as a mediator and support the resolution process!

We need to say goodbye to a colleague? – You manage the offboarding process from start to finish, handling all HR-related tasks.

We’re looking to strengthen our team at your assigned countries? – You occasionally assist with interviews and provide your HR expertise!

We’re working on global (digitalization/compliance) projects that need to be rolled out ? – Great! You’ll support us in implementing digital solutions and take ownership of specific topics.

We’re aligning processes? – You’ll play a key role in ensuring smooth coordination and provide your expertise in streamlining workflows.

Your profile:

Strong understanding of European Labor law (specifically for Spain, France &Italy) is a strong plus

Experienced HR professional who works independently, takes initiative in identifying and completing tasks, and has demonstrated experience with project-based work.

Structured way of working, good understanding of business processes

Proven experience in HR within at least one of the countries mentioned and ideally in a European focused role with multiple entities managed across countries.

Expertise in HR systems and policies

Degree in HR or a related field (e.g., Business, Labor Law, etc.)

Fluency in Spanish (Italian and/or French a plus)

Advanced English as it´s our company language (B2)

As some of our members do not speak Spanish, we kindly ask you to send in an English CV only. Thank you.

Please note
that TecAlliance can only consider candidates for employment who are legally authorized to work in a country listed in the job posting, where we have an established legal entity and payroll system. Unfortunately, we are currently unable to hire candidates who require relocation, visa support, or are located outside of that country. Of course you can apply, if you hold a work permit and are willing to / or already moved to the country. Thank you for your understanding.
that it is not possible to work outside of the country you are applying for. Meaning that, if you apply e.g. for Spain, you must work from within Spain. It is not possible to work from abroad. You can work at any location within the borders of the listed country, unless the job posting specifies a certain City.

Contract title: your contract title is “People Service Partner”.

Department Human Relations

Role HR

Locations Barcelona, Tenerife, France Remote, Italy Remote

Remote status Hybrid

Employment type Full-time",Todas,Recursos Humanos
DIRECTOR/A DE RECURSOS HUMANOS – ESPAÑA,GOLD UNION SP DEV SL,Barcelona,50 mil € - 65 mil € (Proporcionado por la empresa),15 días,"3,7","La empresa

Gold Union continúa su crecimiento en España y busca incorporar un/a Director/a de Recursos Humanos para liderar, estructurar y profesionalizar el área de personas en una fase clave de expansión.

Este rol no es corporativo ni burocrático. Es un puesto estratégico, operativo y con impacto real en la evolución del negocio.

Tu misión

Diseñar, liderar y consolidar la estrategia de Recursos Humanos en España, alineando personas, cultura y crecimiento del negocio.

Funciones principales

Definición e implementación de la estrategia de RRHH.
Liderazgo del área de reclutamiento y desarrollo de talento.
Diseño de políticas internas, procesos y estructura organizativa.
Apoyo directo a dirección y managers en gestión de equipos.
Desarrollo de planes de onboarding, evaluación y retención.
Supervisión de relaciones laborales y marco legal.
Acompañamiento del crecimiento de la red de agencias.
Construcción de cultura, valores y estándares internos.

Perfil buscado

Formación superior en RRHH, Psicología, ADE o similar.
Experiencia mínima de 5–7 años en posiciones de RRHH.
Experiencia previa liderando áreas o equipos de RRHH.
Haber trabajado en entornos de crecimiento o expansión.
Visión estratégica combinada con capacidad operativa.
Perfil maduro, estructurado y con criterio.
Alta capacidad de comunicación y toma de decisiones.

Se valorará especialmente

Experiencia en empresas retail o multisede.
Haber participado en procesos de expansión nacional.
Experiencia previa creando estructuras desde cero.

Condiciones ofrecidas

Contrato indefinido.
Salario acorde a responsabilidad y experiencia.
Rol clave dentro del comité de dirección.
Autonomía, confianza y capacidad de decisión.
Proyecto sólido, exigente y con recorrido profesional.

Tipo de puesto: Jornada completa

Sueldo: 50.000,00€-65.000,00€ al año

Ubicación del trabajo: Empleo presencial",Todas,Recursos Humanos
Manager - BCG Vantage- People & AI Insights & Innovation,Boston Consulting Group,Madrid,No especificado,24 horas,"3,7","Locations: London | Madrid

Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.


What You'll Do

As a Manager – BCG Vantage on the Topic Activation path within BCG’s People & Organization (POP) Practice Area, you will join POPX (People & AI Insights & Innovation), a global team focused on advancing people and organizational analytics through AI, advanced analytics, and innovation. You will collaborate closely with POPX colleagues and POP leadership to provide functional expertise and insights, and to build scalable analytical capabilities that support BCG’s people and organization agenda.


In this role, you will work with BCG case and proposal teams to deliver knowledge assets, analytics, and expert advisory, serving as a thought partner and content expert to case teams and topic and sector leaders in structuring and solving complex client issues. You will also play a central role in developing intellectual property and knowledge assets, supporting commercialization, proposals, and go-to-market efforts for POPX offerings.


The mission of POPX (People & AI Insights & Innovation) is to accelerate innovation in people and organizational analytics by building a strong ecosystem of partnerships with leading People Analytics providers and by co-developing new capabilities and offerings with BCG’s advanced analytics and innovation teams, including BCG X. As part of POPX, you will work with a global team to manage strategic partner relationships, incubate and scale analytical offerings, and deliver high-impact insights to BCG clients across industries.


As a Manager – BCG Vantage, you will also line manage junior colleagues, with responsibility for goal setting, ongoing feedback, and career development support.


BCG’s People & Organization Practice (POP) is a premier consulting organization offering advisory and transformation services with a clear focus on business value creation through people and organization. POP expertise spans Organization Design and Agile, Talent and Skills, and Culture and Change Management, and serves senior business and functional executives through a strategic, fact-based, and impact-oriented approach supported by deep expertise and advanced analytics.


YOU'RE GOOD AT

Applying topic and sector expertise to solve complex client problems through relevant analytical approaches and customized solutions, tailored to different client contexts
Driving the development, maintenance, and scaling of knowledge assets, including products, tools, data, analytics, and topic or sector materials
Framing, structuring, and developing intellectual property, with the ability to write clearly and concisely for senior audiences
Communicating with senior stakeholders in a credible, proactive manner, with the ability to engage and influence effectively
Managing a portfolio of projects, with a strong awareness of business priorities, delivery timelines, and commercial impact
Working creatively and analytically in time-limited, problem-solving environments, balancing rigor with pragmatism
Bringing a curious, flexible, and innovative mindset, open to new ideas and able to propose novel solutions
Training, coaching, and mentoring junior team members, contributing to team capability building and development
Working in an ever changing and complex environment, and comfortable with ambiguity and navigating a fast-paced environment


What You'll Bring

3+ years consulting experience in relevant strategy consulting or HR/talent consulting required; candidates with consulting experience preferred
In lieu of consulting experience, 4+ years minimum industry experience required; 6-10+ years of industry experience strongly preferred
Bachelor's Degree required (advanced degree preferred)
Expertise in business, people, and organizational analytics, with experience using SQL and Python
Hands-on experience with ETL tools and data pipelines to extract, transform, and integrate data from multiple internal and external sources
Strong ability to manipulate, structure, and analyze complex datasets (e.g., multi-table, unstructured, or large-scale people data)
Comfort working in coding and analytics environments (e.g., VS Code, DBeaver) for data exploration, transformation, and analysis
Ability to translate data and analysis into clear, compelling insights that bring reports and findings to life
Ability to balance multiple workstreams, work independently, and manage competing priorities
Excellent project management skills, including managing multiple projects and stakeholders simultaneously
Deep interest and aptitude in data, metrics, analytics, and emerging trends
Preferred: Fluency in AI and Generative AI, with the ability to stay current on emerging developments and apply them to people and organizational analytics
Fluency in English
Outstanding interpersonal and communication skills to interact with internal and external stakeholder while working in a global collaborative team environment


Who You'll Work With

As a Manager – BCG Vantage on our Topic Activation path, you will collaborate with global topic leads and colleagues across BCG to bring expertise and capabilities to the service of our internal and external clients. Our team is made up of a diverse pool of BCG Vantage positions that allow us to pursue exciting, innovative BCG Vantage careers.


Additional info

BCG Vantage is a powerhouse of expertise, seamlessly embedded within Practice Areas and markets to drive extraordinary impact. It equips BCG case teams and clients with cutting-edge expertise, proprietary assets, actionable data, and transformative insights that empower our case teams and enable our clients to achieve their aspirations.


With global experts across 20 Practices, covering more than 100 topics, sectors and offers, plus four focused geographic markets, BCG Vantage delivers unparalleled depth and breadth of insight & expertise. BCG Vantage consists of three career paths, each playing a crucial role in delivering value to clients, case teams and practice teams.


Client Focus (Embedded Expertise)

Integrates into client-facing teams to deliver direct client impact through expertise, know-how, and proprietary tools and assets


Topic Activation (Sector Expertise with Proprietary Tool & Data Solutions)

Combines deep domain insights with our know-how and proprietary assets to address targeted challenges directly with clients and project teams; co-creates insights on industry trends and functional topics, proprietary data and tools, and teams to codify IP that all enables BCG to deliver excellent business value with its clients


Research (Practice Topic and Sector-Aligned Research and Insights)

Delivers actionable research and insights tailored to the client project’s needs; works with qualitative and quantitative data, conducts research and provides synthesized results from sources including commercial data, public and open source, company and industry research, macro-economic, commodities and trade data.


Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under national, provincial, or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws.
BCG is an E - Verify Employer. Click here for more information on E-Verify.",Todas,Recursos Humanos
Administrativo Contable,Seros,España,No especificado,27 días,"3,7","Se busca Administrativo Contable con experiéncia también de Recursos Humanos, para empresa del sector fruticola a jornada completa para todo el año.

Tipo de puesto: Jornada completa

Educación:

Diplomatura/Grado (Deseable)

Experiencia:

administracion y contabilidad: 4 años (Obligatorio)

Idioma:

Inglés (Obligatorio)

Ubicación del trabajo: Empleo presencial",Todas,Recursos Humanos
HR Integration Lead,Claire Joster,Madrid,No especificado,+ 30 d,"3,7","Presentación

At Claire Joster, we are experts in selecting executive and middle management profiles for key functional areas. Thanks to our team of specialized consultants, we help companies and candidates grow professionally. We work with a fundamental added value: talent recruitment based on values. The goal is to ensure a cultural fit between our clients and candidates. Matching values.

Organización

Our client, a multinational retail company, is looking for a HR Integration Lead. This person will be responsible for planning and executing the smooth transition of HR activities intro the organization.

Función
Lead the HR integration project plan, ensuring a structured and timely transfer of activities.
Develop and execute a detailed transition roadmap, including timelines, milestones, and risk management plans.
Map current outsourced HR activities and identify gaps, risks, and dependencies for transferring them in-house.
Standardize and document HR processes, ensuring compliance with internal policies and legal requirements.
Ensure effective handover of process documentation, systems access, and knowledge of the previous company.
Establish risk mitigation plans to ensure business continuity throughout the transition.
Define success measures and track progress against integration milestones.
Communicate clearly and regularly with senior leaders, managers, and employees about the transition’s objectives, progress, and impacts.
Partner with employee representatives and local works councils (if applicable) to ensure transparent and constructive dialogue.
Ensure data integrity, secure transfer of employee information, and system compliance standards.
Requisitos
Bachelor’s degree in Human Resources, Business Administration, or related field (Master’s degree preferred).
10+ years of progressive HR experience, including roles in HR Operations, HR Transformation, or Shared Services.
Proven experience in leading HR insourcing, outsourcing, or transition projects.
Strong knowledge of HR processes across employee lifecycle (payroll, employee relations, onboarding, benefits, etc.).
Demonstrated expertise in change management, stakeholder engagement, and project/program management.
Excellent communication and influencing skills with the ability to operate collaboratively and assertively in a matrix environment.
Strong analytical and problem-solving mindset, with attention to operational detail.

Fluency in English is required, and Spanish is highly recommended.

09/1/2026",Todas,Recursos Humanos
Comercial con perfil de gestión de personas para empresa de limpieza,Blazingarts,Tarragona,18 mil € - 22 mil € (Proporcionado por la empresa),10 días,"3,7","En BlazingArts, nos especializamos en brindar servicios de consultoría empresarial personalizados, centrándonos en la selección de personal para empresas del sector de servicios de limpieza.

Estamos buscando un Responsable de Área con perfil de comercial y de gestión de personas para unirse al equipo de uno de nuestros clientes, una empresa de Servicios de Limpieza del área de Tarragona.

Tareas

Desarrollar e implementar estrategias comerciales para expandir la cartera de clientes en el sector de servicios de limpieza.
Gestionar y coordinar procesos de selección de personal para cubrir necesidades específicas de los clientes en el ámbito de limpieza.
Establecer y mantener relaciones sólidas con los clientes, asegurando un alto nivel de satisfacción y fidelización.
Colaborar con el equipo interno para optimizar los procesos de contratación y formación de personal, garantizando el cumplimiento de los estándares de calidad de la empresa.
Realizar análisis de mercado y monitorear las tendencias del sector para identificar oportunidades de negocio y mejorar la competitividad de la empresa.


Requisitos

Experiencia previa en gestión de equipos y procesos de selección, preferiblemente en el sector de servicios de limpieza.
Habilidades excepcionales de comunicación y negociación para establecer y mantener relaciones con clientes y colaboradores.
Capacidad para trabajar de manera autónoma y proactiva, demostrando liderazgo y toma de decisiones efectivas.
Conocimiento sólido de herramientas de gestión de recursos humanos y software de seguimiento de candidatos.
Disponibilidad para adaptarse a horarios flexibles según las necesidades del negocio.


Beneficios

Retribución de convenio + variable según objetivos.
Vehículo de empresa.
Flexibilidad de horarios y posibilidad de teletrabajo.


Únete a nuestro cliente como Responsable de Área y crece con nosotros. ¡Forma parte de nuestro equipo innovador y comprometido!",Todas,Recursos Humanos
Departamento de Recursos Humanos,ANVIGAR ASSOCIATS,Sabadell,25 mil € - 27 mil € (Proporcionado por la empresa),10 días,"3,7","Técnico/a de Recursos Humanos

Buscamos un/a Técnico/a de Recursos Humanos con sólidos conocimientos en nóminas, contratación, tareas administrativas, tramitación laboral y seguros sociales. Serás responsable de gestionar los procesos de recursos humanos dentro de la organización, garantizando el cumplimiento de la normativa laboral.

Requisitos:

Formación universitaria o FP superior en Recursos Humanos, Administración de Empresas o similar.
Experiencia demostrada en nóminas, tareas administrativas, tramitación laboral y seguros sociales.
Excelentes habilidades de comunicación, organización y atención al detalle.
Conocimiento sólido de la legislación laboral y normativa de Recursos Humanos.
Dominio de herramientas ofimáticas y sistemas de gestión de Recursos Humanos.
Gestión de la contratación, elaboración, formalización y registro de contratos según normativa vigente y comunicación de los contratos y modificaciones contractuales al servicio estatal de empleo (SEPE) y a la Seguridad Social (RED).
Resolución de las posibles incidencias utilizando las herramientas establecidas por estas entidades.
Gestión administrativa y laboral: tramitación de bajas y altas médicas a la Seguridad Social, gestión de incidencias laborales como permisos, excedencias, sanciones o económicas como gestión de complementos salariales, anticipos o regularizaciones de nómina.

Ofrecemos:

Contrato indefinido.
Salario competitivo acorde a tu experiencia y valía.
Oportunidades de desarrollo profesional y formación continua.
Excelente ambiente de trabajo en un equipo comprometido.

Tipo de puesto: Jornada completa

Sueldo: 25.000,00€-27.000,00€ al año

Ubicación del trabajo: Empleo presencial",Todas,Recursos Humanos
Comercial Freelance B2B – Reclutamiento Internacional,Vamonosya!,Trabajo en remoto,No especificado,24 horas,"3,7","En Vámonos Ya!, agencia especializada en reclutamiento internacional, conectamos talento latinoamericano con empresas en España que necesitan cubrir vacantes y dar respuesta a sus necesidades de contratación. Actualmente, en fase de expansión, buscamos incorporar a un/a:

Comercial Freelance Autónomo/a (B2B).

Con experiencia real en venta consultiva a empresas y, preferiblemente, con cartera activa de contactos en España.

¿Cuál será tu misión?

Conseguir y cerrar nuevos clientes (empresas en España) que necesiten contratar personal internacional.
No gestionarás candidatos.
No participarás en procesos de selección.
No llevarás la parte operativa.
Tu función es 100% comercial: captación y cierre.

¿Cuál es el perfil que buscamos?

Autónomo/a o freelance
Experiencia mínima de 3 años en ventas B2B
Experiencia en RRHH, consultoría, servicios empresariales o similar
Acostumbrado/a a vender servicios de ticket medio/alto
Con red de contactos o cartera activa en España (muy valorable)
Mentalidad orientada a resultados

¿Qué ofrecemos?

Modelo 100% a comisión (comisión competitiva y acorde a tickets medios/altos)
Servicio con alta demanda real en el mercado español
Soporte interno completo para la parte operativa
Libertad total de organización
Posibilidad de escalar ingresos según volumen de pedidos

¿Te interesa?

Envíanos tu CV incluyendo breve resumen de tu experiencia en ventas B2B:

Sectores con los que trabajas actualmente
Tipo de empresas que sueles cerrar

Al correo: reclutamiento@agenciavamonosya.com - ASUNTO: Comercial B2B

Tipo de puesto: Jornada completa

Sueldo: A partir de 1,00€ al mes

Preguntas para la solicitud:

Este empleo es para trabajar y vivir en España. Estás de acuerdo?
¿Dispone de Certiadulto? Adjuntar en el cv tu certificado de trabajo y certiadulto

Ubicación del trabajo: Empleo remoto",Todas,Recursos Humanos
Contable-Administrativo (presencial),Ritz & Riche,España,18 mil € - 22 mil € (Proporcionado por la empresa),+ 30 d,"3,7","(Puesto Presencial. No híbrido ni Teletrabajo)

En Grupo Ritz&Riche, estamos en constante crecimiento y buscamos a un/a Responsable de Contabilidad y Administración con una sólida experiencia de 5-10 años para unirse a nuestro equipo y liderar nuestro departamento financiero.

¿A quién buscamos?

Queremos a una persona proactiva, responsable, con enfoque Estratégico y Financiero, que se destaque por su capacidad de trabajar en equipo, su organización y su cumplimiento de plazos. Además, valoramos altamente la experiencia en el manejo de ERP’s de última generación como Odoo, A3 o Holded, y una sólida experiencia previa en roles de liderazgo y conocimientos en Recursos Humanos.

Responsabilidades del puesto:

Registro de todas las transacciones de la empresa: facturas de compra y venta, pagos, cobros, operaciones financieras, nóminas, altas de activos, y cierres mensuales.
Reporting financiero mensual.
Cierre mensual de cuentas, realización de Cuenta de Explotación por meses, estudio de ventas, costes y márgenes.
Manejo de diferentes plataformas de facturación y compras.
Realización de conciliaciones bancarias.
Generación diaria de remesas de clientes a través de ERP y entidades bancarias.
Coordinación con la asesoría laboral para la gestión de contratos y control horario.
Reclamación de cobros a clientes y respuesta a proveedores.
Envío de transferencias y remesas de pagos a proveedores.
Coordinación con la asesoría fiscal para la respuesta a requerimientos de la AEAT.
Gestión de compras y pedidos a proveedores.
Tareas administrativas proporcionando información económico-financiera a los socios.

Requisitos y habilidades valoradas:

Experiencia previa en un puesto de responsabilidad con Visión Estratégica y Financiera del Puesto.
Dominio de programas ERP de última generación.
Uso de inteligencia artificial para generar comunicaciones y automatizar tareas.
Conocimiento avanzado de Google Workspace y herramientas de Excel.
Experiencia en contabilidad y administración (mínimo 3 años deseable).
Manejo de programas ERP contabilidad (mínimo 3 años deseable).
Nivel de inglés avanzado (mínimo 3 años deseable).

Ofrecemos:

Tipo de puesto: Jornada completa.
Sueldo: 18.000,00€ a 23.000,00€ al año.
Diferencia Salarial por consecución de objetivos mensuales y Trimestrales+ bonus, alcanzando un 20% más de rango salarial si se cumplen todos.
Horario: De lunes a viernes.
Compensaciones complementarias: Bonus por objetivos.
Oportunidades de desarrollo profesional y formación continua.

¿Interesado/a?

Envía tu CV y forma parte de un equipo dinámico y en constante crecimiento. ¡Te esperamos!

Educación requerida:

Diplomatura/Grado (Deseable).

Únete a Ritz&Riche y lleva tu carrera al siguiente nivel con nosotros.

Se valorará muy positivamente la experiencia en:

- un puesto de Responsabilidad anterior dirigiendo a un equipo Administrativo y Comercial.
- Gestión del departamento con Ratios financieros, KPI's, y Cuentas de Explotación Mensual, así como cierres mensuales.

- Gestión de compras y proveedores, así como contabilidad de las mismas.

- el dominio de los programas de Software ERP de ultima generación (como HOLDED)

-el uso de la AI para generar comunicaciones, tareas automatizadas, etc

- Uso y conocimiento de Google Workspace, así como las herramientas Excel a nivel avanzado, Drive, etc

Tipo de puesto: Jornada completa

Educación:

Diplomatura/Grado (Deseable)

Experiencia:

Contabilidad y Administración: 3 años (Deseable)
Programas ERP contabilidad: 3 años (Deseable)
Inglés: 3 años (Deseable)

Ubicación del trabajo: Empleo presencial en Oficinas. No es Híbrido y no se contempla Teletrabajo.

Tipo de puesto: Jornada completa, Contrato indefinido

Sueldo: 18.000,00€-22.000,00€ al año

Beneficios:

Formación en certificaciones profesionales
Programa de formación
Seguro médico privado
Teléfono de empresa

Ubicación del trabajo: Empleo presencial",Todas,Recursos Humanos
ADMINISTRATIVO/A RRHH BILINGÜE ALEMÁN–ESPAÑOL,Humanus Personalservice,Alcobendas,No especificado,+ 30 d,"3,7","Somos Humanus, una empresa alemana del sector de recursos humanos que busca incorporar un/a Administrativo/a bilingüe alemán–español para dar soporte administrativo y atención a trabajadores hispanohablantes desde la zona de Madrid.

Funciones:

Atención administrativa a trabajadores en español
Comunicación diaria en alemán con la central
Gestión y recopilación de documentación laboral
Coordinación con gestoría y equipos en Alemania
Apoyo en procesos de selección

Requisitos imprescindibles:

Español nativo
Alemán avanzado (uso profesional diario)
Experiencia en tareas administrativas o RRHH
Alto nivel de organización y responsabilidad

Se valorará:

Idiomas de Europa del Este
Experiencia en entorno internacional

Ofrecemos:

Contrato laboral alemán
Paquete salarial atractivo
Proyecto estable y a largo plazo
Incorporación inmediata

Lugar de trabajo: Madrid
Enviar CV (alemán o español)

Tipo de puesto: Jornada completa, Contrato indefinido

Ubicación del trabajo: Empleo presencial",Todas,Recursos Humanos
