Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Mozo/a de Logística,Silbon,España,No especificado,+ 30 d,"4,2","SILBON, NOTHING IS CASUAL

¿Te apasiona la moda y quieres formar parte de un equipo dinámico en constante crecimiento?

En Silbon, la marca cordobesa de las dos raquetas estamos buscando talento para unirse a nuestro equipo.

Desde nuestros inicios en 2009, hemos tenido un propósito claro: conectar la marca con nuevos segmentos de clientes a través de nuestra esencia: el diseño y elegancia, la calidad, la normalidad y el compromiso social y medioambiental reforzado con una visión clara: la búsqueda constante de la diferenciación, sorprender para liderar.

Contamos con más de 130 tiendas y más de 500 colaboradores en la compañía entre España, Portugal, Francia y México.

Silbon es moda, pero también es pasión y estilo de vida.

Dress to live, dress to last.

Descripción de la oferta: Mozo/a de almacén

Formarás parte del equipo logístico de Silbon, apoyando las operaciones diarias y asegurando el correcto funcionamiento de nuestros procesos internos.

Funciones principales:

Montaje, desmontaje y transporte interno de estructuras, materiales y equipamiento en espacios logísticos.
Apoyo al equipo de producción y operaciones en la coordinación y logística de mercancías y eventos internos.
Manipulación, organización y control de stock.
Preparación de pedidos y disposición de materiales según protocolos establecidos.
Recepción, etiquetado y ubicación de la mercancía.
Mantenimiento del orden y limpieza en la zona de trabajo.

Requisitos:

Experiencia previa en logística, almacén, montaje de eventos o similares.
Buena condición física y capacidad para realizar tareas que impliquen carga manual.
Actitud responsable, organizada y orientada al trabajo en equipo.
Disponibilidad horaria flexible (posibilidad de trabajo en fines de semana o festivos según necesidad operativa).
Se valorará carnet de conducir y movilidad geográfica.

Ofrecemos:



Incorporación a una compañía en plena expansión dentro del sector de la moda premium.
Contrato a jornada parcial
Entorno profesional joven, dinámico y con oportunidades reales de crecimiento.
Formación continua y desarrollo profesional.
Salario acorde al nivel de responsabilidad.",Córdoba,Todos
Mozo de almacén,MEDIOSOLAR ENERGY S.L.,España,No especificado,10 días,"4,2","Descripción del puesto

En Mediosolar Energy S.L. buscamos una persona proactiva, organizada y con gran sentido de la responsabilidad para unirse a nuestro equipo. El candidato ideal será clave para asegurar que el flujo de materiales y la preparación de servicios sea impecable, evitando retrasos en nuestra agenda laboral y garantizando que el acopio de material esté siempre a punto.

Responsabilidades principales

Gestión de Inventario: Recepción, control de calidad y ubicación de mercancía.
Preparación de Pedidos: Organización del material necesario para las instalaciones diarias, asegurando que no falte nada antes de la salida de los equipos.
Mantenimiento del Orden: Mantener el almacén limpio y organizado para optimizar los tiempos de carga y descarga.
Control de Stock: Notificar roturas de stock o necesidades de compra de forma anticipada.
Apoyo Logístico: Coordinación con el equipo de instalaciones para asegurar el cumplimiento de la agenda prevista.

Requisitos

Experiencia previa en puestos similares (mínimo 1 año).
Persona metódica y puntual (valoramos mucho el compromiso con los horarios para no afectar la operativa del resto del equipo).
Capacidad física para la carga y descarga de materiales.
Se valorará carnet de carretillero y conocimientos básicos de herramientas informáticas de gestión.

Tipo de puesto: Jornada completa

Ubicación del trabajo: Empleo presencial",Córdoba,Todos
OPERARIO LIMPIEZA BIBLIOTECA,Grupo Osga,España,No especificado,+ 30 d,"4,2","En GRUPO OSGA estamos COMPROMETIDOS CON LA DIVERSIDAD, LA INCLUSION Y LA IGUALDAD DE TRATO Y DE OPORTUNIDADES y en contra cualquier tipo de discriminación.

Apostamos cada día y en cada puesto de trabajo, por la inclusión real de personas de colectivos vulnerables en nuestros equipos de trabajo dirigiendo las ofertas de empleo a cualquier persona que reúna los requisitos técnicos y académicos exigidos, independientemente de su condición, origen, situación o género.

SOMOS PERSONAS QUE INTEGRAN A PERSONAS. ¡ÚNETE A GRUPO OSGA!

Categoría: Limpieza de edificio y oficinas.

¿Qué trabajo realizarás?:

Limpieza y desinfección de zonas comunes de edificios.
Limpieza de cristales.
Desempolvado y limpieza de mobiliario.
Vaciado y limpieza de papeleras.
Limpieza de ascensores.

¿Cuáles son los requisitos para este puesto?:

Capacidad de trabajar de manera independiente y como parte de un equipo.
Conocimientos de protocolos y productos de limpieza, desinfección.
Valorable estar en posesión del Certificado de Discapacidad igual o superior al 33%.

¿Cuál será tu horario?:

Jornada parcial de 18h, de lunes a sábados de 6:00 a 9:00h de la mañana.

¿Cuál será tu salario?:

Según convenio.

¿Cuándo empiezas?

Lo antes posible

¿Dónde?

Córdoba Capital.",Córdoba,Todos
26570- Administrativo/a Córdoba,Ineco,España,No especificado,+ 30 d,"4,2","Ingeniería y consultoría de referencia en el ámbito de la movilidad sostenible y la transformación digital

Ineco lleva 55 años diseñando soluciones integrales, innovadoras y tecnológicas que han permitido avanzar hacia un nuevo modelo de movilidad más sostenible y más segura. Soluciones que contribuyen de manera directa en la mejora de la calidad de vida de millones de personas.

Con un equipo multidisciplinar de más de 6.000 profesionales, la empresa está presente en todos los continentes donde despliega su experiencia y capacidad para afrontar trabajos técnicamente complejos gracias a su conocimiento especializado y a la aplicación de la tecnología más avanzada y vanguardista.

Funciones

- Gestión de contratos de mantenimiento y obras.

Atención Telefónica.
Informes diarios de incidencias.
Gestión de gastos de viaje.
Gestión de documentación para firma.
Registro de entradas y salidas de correspondencia.
Coordinación y unificación de respuestas con las áreas técnicas.
Coordinación de visitas.
Gestión de la aplicación de peticiones vacaciones, licencias, etc.

Requisitos

- Experiencia en Office: Word, Excel, Outlook, Edge, Teams.

Experiencia en el puesto: más de 5 años.
Titulación: Bachillerato, BUP, COU ,Formación Profesional.

Se ofrece

¿Qué te podemos ofrecer?

Incorporarte a una compañía pública referente en la ingeniería y consultoría del transporte con más de 6.000 profesionales
Contamos con beneficios flexibles adaptables a cada persona.
Formación continua. En INECO aportamos la formación en idiomas y la formación en las disciplinas técnicas que se requieran para desarrollar tu carrera profesional.
Conciliación entre la vida personal y profesional. Disponemos de múltiples medidas de conciliación.
Acceso a numerosos descuentos y promociones exclusivos para nuestros profesionales.
Formar parte de una empresa como INECO se traduce en oportunidad: la diversidad de oferta con la que contamos significa que puedes desarrollar tu trayectoria profesional en el ámbito que mejor responda a tus intereses, así como ir aprendiendo en las distintas áreas de la compañía.
En Ineco apostamos por el talento que tiene como base entornos de trabajo retadores y estimulantes que promuevan el desarrollo personal y profesional de nuestros empleados, garantizando el cumplimiento de los principios de igualdad, mérito y capacidad, así como la trasparencia, objetividad y la igualdad de oportunidades.
En Ineco estamos comprometidos con la protección del medio ambiente y con la mitigación de los efectos del cambio climático y nos sumamos al reto de la Agenda 2030 y los 17 ODS.
Mantenemos desde el año 2008 la adhesión a los Diez Principios del Pacto Mundial de Naciones Unidas, basados en el respeto y promoción de los derechos humanos, laborales, medioambientales y de lucha contra la corrupción.",Córdoba,Todos
Empleado de tienda,Action,Baena,No especificado,2 días,"4,2","Empleado de tienda

¿Quieres trabajar en una buena empresa en tu localidad? ¿Con buenos compañeros y un buen horario laboral? ¡Ven y apúntate para ser empleado de tienda en Action!

¡Trabaja donde esté Action!

Juntos, como compañero, te asegurarás de que la tienda esté llena, ordenada y limpia.
También para que los clientes encuentren los productos rápidamente y no necesiten pedir ayuda. Por supuesto, les ayudarás si no pueden encontrar su producto favorito o si buscan uno de nuestros 150 nuevos productos que añadimos a nuestra gama cada semana.
¿Te hemos dicho ya que, como empleado, tendrás un 15 % de descuento en cualquier artículo? Gracias a las tareas variadas, el tiempo se te pasará volando en tu jornada laboral. Ocupa un puesto de caja durante un rato y repón después los estantes y habrás terminado la jornada.


¿Quieres más Action?

Tenemos un crecimiento rápido y te invitamos a que crezcas con nosotros. Sobre todo si puedes trabajar y atender a los clientes con una sonrisa. Busca tus puntos fuertes con el responsable de tienda, y quién sabe, es posible que acabes haciendo carrera en nuestra organización internacional.

Te ofrecemos:
Contrato indefinido jornada parcial (55% Jornada). Con una media de un poco más de 20 horas semanales
Salario atractivo por encima de convenio
Trabajo por turnos
Planificación de turnos en función de las necesidades
Descuento de empleado del 15 % en todos los productos
Un ambiente de trabajo agradable con compañeros responsables
Empleo con el mayor descuento en productos no alimentarios de Europa
¿Cumples los requisitos?
Estás disponible al menos 20 horas a la semana en los días en que nuestra tienda está abierta.
Eres una persona con energía y estás encantado de formar parte de un equipo motivado.
Cumples con los requisitos de la cultura empresarial de Action: orientación al cliente, respeto, trabajo en equipo, disciplina y sencillez.
¿Te interesa?

¿También quieres que el mejor trabajo esté cerca de casa? Envíanos tu currículum o, al menos, una breve presentación con tus datos de contacto.",Córdoba,Todos
ADMINISTRATIVO/A COMERCIAL,Once Dating,España,17 mil € - 18 mil € (Proporcionado por la empresa),8 días,"4,2","¿Imaginas tu carrera profesional siendo parte del cambio y la transformación social? ¡BUSCAMOS TU TALENTO!

En ONCE estamos buscando un/a Auxiliar Administrativo/a para una vacante indefinida para nuestra Dirección de Apoyo de Córdoba.

¿QUÉ REALIZARÁS EN TU DÍA A DÍA?

Gestionarás información dentro del departamento/centro de trabajo.
Manejarás tareas diarias como registrar, organizar, y archivar la correspondencia, archivos, ficheros, etc.
Apoyarás a los miembros del departamento en tareas y proyectos.
Ejecutarás tareas manejando escritorio corporativo (SAP), correo electrónico y office 365.
Prepararás informes, presentaciones y sumarios de documentos.
Darás soporte administrativo a otros equipo.

¿QUÉ NECESITAMOS DE TI? (Requisitos)

FP I o II relacionado con funciones administrativas.
Experiencia en funciones administrativas.
Disponibilidad para trabajar en turno partido.
Conocimientos sobre el manejo de aplicaciones del paquete Microsoft Office, especialmente Word, Excel y Outlook.
Conocimiento y experiencia sobre el manejo de aplicaciones en el entorno del Escritorio Corporativo y SAP.
Disponer de carnet de conducir y vehículo propio.

¿QUÉ OTRAS COSAS NOS GUSTA TENER EN CUENTA? (Requisitos valorables)

Orientación hacia las personas. ¡Nos encanta trabajar en equipo y tenemos vocación de servicio!
Experiencia en entornos dinámicos y multidisciplinares.
Se valorará una experiencia mínima de 2 años.
Experiencia en el área comercial.

¿QUÉ TE OFRECEMOS?

Contrato indefinido.
Jornada completa de 36 h/s , ¡adiós a las 40 horas/semanales! Jornada partida.

- Salario competitivo de +17.000euros bruto/año, y tras 2 años, paso a categoría senior con salario de +/- 24.000euros bruto/año.

24 días laborables de vacaciones + 6 días de asuntos propios de disfrute personal.
Ayudas anuales a la formación individual, ¡queremos que sigas creciendo!
Tarjeta ONCE: Ofrecemos descuentos exclusivos.
Ayudas económicas por nacimiento de hijos/as o adopción.
Ofrecemos oportunidades para que cualquier persona pueda participar en actividades de voluntariado y contribuir al bienestar de la comunidad.
ONCEInnova; Contamos con una unidad de innovación y emprendimiento, donde cualquier empleado puede proponer y formar parte de proyectos de intraemprendimiento e innovación en la ONCE. Tienes la oportunidad de sumarte a una Organización solidaria, social y comprometida, DE PERSONAS Y PARA PERSONAS, consciente de su responsabilidad con la sociedad, que te acompañará en el proceso de acogida y te ofrecerá oportunidades de crecimiento profesional.

¡Tú decides dónde llegar!",Córdoba,Todos
Auxiliar Administrativo,Bureau Veritas,España,No especificado,21 días,"4,2","Desde Grupo Bureau Veritas iniciamos proceso de selección para incorporar a Auxilair administrativo/a

¿CÓMO ES TRABAJAR EN BUREAU VERITAS?

Tendrás a tu lado a un equipo que te ayudará siempre en lo que necesites
Tendrás la estabilidad y el prestigio de trabajar en una empresa grande y con diferentes clientes.
Tendrás flexibilidad y libertad para organizar tu trabajo.
Otros beneficios: contarás con un portal de descuentos en diversos productos, tendrás la oportunidad de aprender idiomas gracias a nuestra plataforma online y acceso a retribución flexible (seguro de salud, tickets restaurantes, guardería, formación y vehículo de renting)


FUNCIONES

Control y verificación de datos
Gestión de cobros y facturación
Supervisar y validar pagos a proveedores

REQUISISTOS

Formación: Grado universitario ADE o similares
Conocimientos en Excel y microsoft 365, Power Bi (valorable)

EXPERIENICA PREVIA
Sí, experiencia de al menos 6 meses en puesto similar

¿Qué ofrecemos para ti?

Estarás acompañado por un equipo joven y multidisciplinar conformado por técnicos de diferentes especialidades, altamente cualificados, con capacidad de abordar de manera integral la globalidad de un proyecto.
Participarás en proyectos de gran envergadura ya que nos avalan 25 años de experiencia y más de 1.000 referencias en proyectos de renovables, ingeniería eléctrica y telecomunicaciones.
Retribución flexible a tu medida (ticket restaurante, ticket transporte, ticket guardería,...

Modalidad teletrabajo 100%


Si quieres ayudarnos a dejar huella y que construyamos juntos una sociedad más segura e inteligente, de la mano de un equipo unido y en una empresa referente, con clientes muy grandes donde podrás ver cosas diferentes y seguir aprendiendo...


¡INSCRIBETE AHORA!



En Bureau Veritas ofrecemos igualdad de oportunidades. Ningún/a candidato/a o empleado/a recibirá un trato menos favorable debido a su género, estado civil, orientación sexual, color, raza, origen étnico, religión, discapacidad o edad.
En Bureau Veritas tenemos un estricto Código Ético que asegura la diversidad e inclusión y la igualdad de oportunidades.

Desde Grupo Bureau Veritas iniciamos proceso de selección para incorporar a Auxilair administrativo/a

¿CÓMO ES TRABAJAR EN BUREAU VERITAS?

Tendrás a tu lado a un equipo que te ayudará siempre en lo que necesites
Tendrás la estabilidad y el prestigio de trabajar en una empresa grande y con diferentes clientes.
Tendrás flexibilidad y libertad para organizar tu trabajo.
Otros beneficios: contarás con un portal de descuentos en diversos productos, tendrás la oportunidad de aprender idiomas gracias a nuestra plataforma online y acceso a retribución flexible (seguro de salud, tickets restaurantes, guardería, formación y vehículo de renting)


FUNCIONES

Control y verificación de datos
Gestión de cobros y facturación
Supervisar y validar pagos a proveedores

REQUISISTOS

Formación: Grado universitario ADE o similares
Conocimientos en Excel y microsoft 365, Power Bi (valorable)

EXPERIENICA PREVIA
Sí, experiencia de al menos 6 meses en puesto similar

¿Qué ofrecemos para ti?

Estarás acompañado por un equipo joven y multidisciplinar conformado por técnicos de diferentes especialidades, altamente cualificados, con capacidad de abordar de manera integral la globalidad de un proyecto.
Participarás en proyectos de gran envergadura ya que nos avalan 25 años de experiencia y más de 1.000 referencias en proyectos de renovables, ingeniería eléctrica y telecomunicaciones.
Retribución flexible a tu medida (ticket restaurante, ticket transporte, ticket guardería,...

Modalidad teletrabajo 100%


Si quieres ayudarnos a dejar huella y que construyamos juntos una sociedad más segura e inteligente, de la mano de un equipo unido y en una empresa referente, con clientes muy grandes donde podrás ver cosas diferentes y seguir aprendiendo...


¡INSCRIBETE AHORA!



En Bureau Veritas ofrecemos igualdad de oportunidades. Ningún/a candidato/a o empleado/a recibirá un trato menos favorable debido a su género, estado civil, orientación sexual, color, raza, origen étnico, religión, discapacidad o edad.
En Bureau Veritas tenemos un estricto Código Ético que asegura la diversidad e inclusión y la igualdad de oportunidades.

Desde Grupo Bureau Veritas iniciamos proceso de selección para incorporar a Auxilair administrativo/a

¿CÓMO ES TRABAJAR EN BUREAU VERITAS?

Tendrás a tu lado a un equipo que te ayudará siempre en lo que necesites
Tendrás la estabilidad y el prestigio de trabajar en una empresa grande y con diferentes clientes.
Tendrás flexibilidad y libertad para organizar tu trabajo.
Otros beneficios: contarás con un portal de descuentos en diversos productos, tendrás la oportunidad de aprender idiomas gracias a nuestra plataforma online y acceso a retribución flexible (seguro de salud, tickets restaurantes, guardería, formación y vehículo de renting)


FUNCIONES

Control y verificación de datos
Gestión de cobros y facturación
Supervisar y validar pagos a proveedores

REQUISISTOS

Formación: Grado universitario ADE o similares
Conocimientos en Excel y microsoft 365, Power Bi (valorable)

EXPERIENICA PREVIA
Sí, experiencia de al menos 6 meses en puesto similar

¿Qué ofrecemos para ti?

Estarás acompañado por un equipo joven y multidisciplinar conformado por técnicos de diferentes especialidades, altamente cualificados, con capacidad de abordar de manera integral la globalidad de un proyecto.
Participarás en proyectos de gran envergadura ya que nos avalan 25 años de experiencia y más de 1.000 referencias en proyectos de renovables, ingeniería eléctrica y telecomunicaciones.
Retribución flexible a tu medida (ticket restaurante, ticket transporte, ticket guardería,...

Modalidad teletrabajo 100%


Si quieres ayudarnos a dejar huella y que construyamos juntos una sociedad más segura e inteligente, de la mano de un equipo unido y en una empresa referente, con clientes muy grandes donde podrás ver cosas diferentes y seguir aprendiendo...


¡INSCRIBETE AHORA!



En Bureau Veritas ofrecemos igualdad de oportunidades. Ningún/a candidato/a o empleado/a recibirá un trato menos favorable debido a su género, estado civil, orientación sexual, color, raza, origen étnico, religión, discapacidad o edad.
En Bureau Veritas tenemos un estricto Código Ético que asegura la diversidad e inclusión y la igualdad de oportunidades.
Job Description and Profile (external)",Córdoba,Todos
Recepcionista Call Center,Hospiten,La Rambla,No especificado,+ 30 d,"4,2","Fecha: 20 ene 2026
Sede: Hospital Universitario Hospiten Rambla

Recepcionista Call Center

Hospiten es una red sanitaria internacional con más de 55 años de andadura comprometida con la prestación de un servicio de máxima calidad, que cuenta con 20 centros médico-hospitalarios privados en España, República Dominicana, México, Jamaica y Panamá, además de 175 centros médicos ambulatorios, bajo la marca Clinic Assist. Fundada por el Dr. Pedro Luis Cobiella, atiende anualmente a más de dos millones de pacientes de todo el mundo y cuenta con una plantilla de más de 5.000 personas, un cuidado que se reforzará en la Comunidad de Madrid gracias a la construcción de un hospital general universitario en Boadilla del Monte, que prevé la finalización de sus obras en 2026.


¿Te gustaría formar parte de una red sanitaria internacional de referencia? Buscamos incorporar un/a Recepcionista Call Center para Hospital Universitario Hospiten Rambla. Si estás interesado/a inscríbete y nos pondremos en contacto contigo.
.
Requisitos:
-Ciclo Formativo de Grado Medio en Administración y Finanzas o similares. -Se valorará conocimientos de Inglés nivel B1-B2. -Mínimo 1 año de experiencia en atención al cliente, preferiblemente en entornos sanitarios o call centers. -Excelente capacidad de comunicación verbal. -Dominio de herramientas informáticas.
Ofrecemos:
-Contrato indefinido a media jornada - 20 horas. - Un entorno propicio para tu desarrollo profesional. -Servicio de comedor gratuito, disponible según turnos de trabajo. -Retribución flexible a través del programa Compensa+, que te permitirá optimizar tu salario adoptándolo a tus necesidades personales. - Incorporación Inmediata.",Córdoba,Todos
ADMINISTRATIVO PARA DEPARTAMENTO DE FORMACION CON GEFOC (CORDOBA),Enterprise Formación,España,No especificado,+ 30 d,"4,2","Vacantes: 1
Fecha Publicación: 09/01/2026
Ciudad: Córdoba

Desde el área de Formación Subvencionada de ENTERPRISE FORMACIÓN CONTINUA, S.L. estamos buscando un/a Administrativo/a en Formación con experiencia en GEFOC para nuestra sede de CORDOBA. ¿Estás interesado/a?


Funciones:

Atención personalizada a todos los interesados en las acciones formativas informándoles de las cuestiones concretas de las mismas: contenido, duración, plazos, proceso de inscripción, requisitos necesarios para ello, etc.
Gestión documental de la ejecución de actividades formativas: recepción solicitudes, inclusión datos GEFOC, gestión seguros, compra materiales y demás gestiones relacionadas con la ejecución.
Recogida, ordenación y volcado de datos en GEFOC: Gestión de fichas de inicio, incidencias, asistencia semanal de alumnos, justificación de faltas, partes mensuales, transcripción de notas de evaluación de los alumnos, ficha de finalización, evaluación individualizada por alumno, evaluación global y cuestionarios de calidad.
Gestión documental de las prácticas laborales.


Requisitos:

Formación ciclo formativo Grado Superior.
Experiencia previa, de al menos 2 años, trabajando en un departamento de Formación.
Conocimientos avanzados del paquete Office.
Se valorará positivamente la experiencia en la gestión de Formación para el Empleo, conocimiento de la normativa aplicable y el uso de GEFOC.


Buscamos una persona con alta capacidad de gestión, resolutiva y con elevadas competencias en trabajo en equipo y capacidad de aprendizaje.




ENTERPRISE
formación

Edif. MPE – Av. de la Innovación, 11 (Sevilla Este). 41020 Sevilla

seleccion@enterprise-formacion.es",Córdoba,Todos
Contable Administrativo/a (Reporting),Leroy Merlin,España,No especificado,+ 30 d,"4,2","Nuestras Tiendas es el lugar donde demostramos, cara a cara, nuestro propósito. Si compartes este objetivo y tu satisfacción es conseguir que los clientes puedan dar vida a sus ideas y proyectos, este es tu sitio.

Formar parte del equipo de nuestras tiendas significa trabajar en un ambiente de co-creación donde vivir nuestros valores y propósito de empresa junto al cliente.

¿Te unes a nosotros?

Te lo enseñamos aquí en este vídeo:

Por esto contamos contigo como contable y serás el responsable de elaborar y garantizar el cumplimiento de los procedimientos contables de cobro, facturación y mercancía con el fin de asegurar el tratamiento fiable de los apuntes contables de cajas y de compras de mercancía en la cuenta de explotación de la tienda de acuerdo con la normativa


Principales funciones

Gastos Generales e Inmovilizado

Realizar la administración y el control administrativo de cajas, facturación de mercancía, gastos generales e inmovilizado para garantizar la correcta administración financiera asociada a cajas, proveedores y acreedores de la tienda.

Procedimiento Contable

Ejercer el control interno de cajas y financiación, así como el de Recepción de mercancía u otras secciones comerciales junto con el Control Gestión Tienda para garantizar el cumplimiento de los procedimientos contables de acuerdo con la normativa.

Tiendas y Cliente

Verificar los apuntes diarios del Libro de Clientes con el fin de mantener bajo control el flujo financiero de la tienda.
Elaboración y análisis de la Cuenta de Explotación y de la tienda para garantizar la fiabilidad de los estimados y reales según los principios de devengo.
Control y gestión de la realización de los inventarios parciales de la tienda para analizar las principales diferencias.

Gestión Transversal

Apoyar a otras secciones y departamentos con el fin de optimizar el trabajo en común.
Colaborar en proyectos trasversales para compartir su visión y experiencia con otras tiendas y departamentos.
Cumplir las medidas de prevención establecidas por la empresa para eliminar o reducir los riesgos del puesto de trabajo e instalaciones.


¿Qué ofrecemos?

Nuestro Propósito

En Leroy Merlin tenemos un propósito que da sentido a lo que somos y a todo lo que hacemos, una guía que es nuestro compromiso contigo y con el planeta. Y es que todo lo que te ofrecemos busca despertar en ti la motivación de crear entornos donde vivir mejor.

Porque estamos seguros de una cosa, si nos lo proponemos, cambiar el mundo está en nuestras manos y en las tuyas.

La Acción Social es uno de los pilares fundamentales de Leroy Merlin España, siendo un valor añadido para toda la empresa, pero también para la comunidad. A través de diversas acciones: proyectos de reforma y acondicionamiento, donaciones, productos solidarios, voluntariado corporativo y nuestra Convocatoria de Ayudas ""Hogares Dignos"", contribuimos a la construcción de un mundo y de una sociedad mejor.

¡Benefíciate! Por ser Leroy Merlin

Como colaborador/a de Leroy Merlin España tienes a tu disposición más de 70 beneficios y/o ventajas clasificados en 6 categorías, pensados para brindarte la mejor experiencia por ser parte de este gran equipo.

Te beneficiarás además de la Política de Compensación Flexible y de Beneficios ofrecidos por Leroy Merlin, como son la posibilidad de convertirte en accionista de la compañía, Seguro de Salud, ayudas en guardería, cheques restaurante y diversos descuentos con grandes colaboradores comerciales, entre otros.

Contarás con una retribución fija además de la participación en los resultados y beneficios.

¡Desarróllate!

¡Fórmate y desarróllate en una empresa multinacional! Encontrarás un gran ambiente de trabajo y dispondrás de autonomía para decidir y actuar, pudiendo participar en la toma de decisiones y en proyectos transversales.

El lugar para todxs

La Gestión de la Diversidad es un eje fundamental en nuestra filosofía de empresa. Es por esto que está incluida en el Chárter de Diversidad, un código de compromiso promovido por la Fundación para la Diversidad y apoyado por el Ministerio de Sanidad, Política Social e Igualdad. Con esto, nos reafirmamos en nuestro compromiso con el respeto al derecho de la inclusión de todas las personas y reconocemos los beneficios que nos brindan la diversidad cultural, demográfica y social.

Leroy Merlín España, S.L.U., declara su compromiso en el establecimiento y desarrollo de políticas que integren la igualdad entre mujeres y hombres, sin ningún tipo de discriminación, así como en el impulso y fomento de medidas para conseguir la igualdad efectiva en el seno de nuestra organización. Asumimos el principio de igualdad entre mujeres y hombres en todos y cada uno de los ámbitos en los que se desarrolla nuestra actividad y en el marco de la Responsabilidad social de nuestra Organización.

Si quieres desarrollar el trabajo que te gusta, nuestra puerta está abierta para ti. Aquí no entendemos de barreras.

TU TALENTO NO TIENE LÍMITES

Sí quieres conocer más información acerca de nuestro Propósito, valores y acciones y nuestras vacantes de empleo, dejamos a tu disposición nuestra Web de Empleo Corporativa Leroy Merlin España.

¡CAMBIAR NUESTRO MUNDO ESTÁ EN NUESTRAS MANOS!",Córdoba,Todos
