Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
EMEA Pricing Manager (Industrial),Axalta,España,No especificado,21 días,"3,6","Axalta has remained at the forefront of the coatings industry by continually investing in innovative solutions. We engineer technologies that protect customers’ products – whether they are battling heat, light, corrosion, abrasion, moisture, or chemicals – and add dimension and beauty with colourful finishes. We have a vast and ever-evolving portfolio of brands primed to play an important part in everything from modernizing infrastructure around the world to enabling the next generation of electric and autonomous vehicles.

We are currently looking for an EMEA Pricing Manager (Industrial) to join us at our facility in Asturias, Spain, on a hybrid setting, working 2 days from home and 3 days from the office at your choice.

The Global Industrial Pricing Team is seeking a skilled and detail-oriented Pricing Manager to join our organization. The Pricing Manager will play a critical role in analyzing pricing strategies, market trends, and competitive landscapes to optimize product pricing. The successful candidate will work closely with cross-functional teams to ensure our pricing models align with business objectives and drive revenue growth.

Key responsibilities:

Conduct pricing analysis and sensitivityífy analysis to determine the impact of different pricing scenarios on revenue and profitability.
Analyze pricing data, sales data, and customer feedback to derive insights and make data-driven recommendations for pricing improvements.
Prepare regular reports and presentations to communicate pricing analysis and recommendations to key stakeholders.
Collaborate with the sales and marketing teams to align pricing strategies with product positioning and customer segments.
Develop and maintain pricing models based on cost analysis, market dynamics, and business goals.
Provide recommendations based on competitive benchmarking to improve our pricing strategies.
Continuously monitor the performance of pricing strategies and initiatives and recommend adjustments to optimize pricing and maximize revenue.
Utilize data analytics and key performance indicators to evaluate the effectiveness of pricing strategies and initiatives.
Collaborate with cross-functional teams, including sales, marketing, finance, and product management, to gather insights and incorporate inputs into pricing strategies.
Work closely with stakeholders to ensure alignment of pricing strategies with business objectives and customer expectations
Analyze market trends, competitor pricing strategies, and customer behavior to develop effective pricing strategies that maximize profitability and competitiveness.

Key requirements:

Bachelor's degree in finance, business, mathematics, economics, or other related fields is required.
Minimum 5 years in pricing analysis, pricing strategy, market research, or related roles.
Proficient in data analysis tools such Microsoft Excel, Power BI.
Proven project management success with high visibility projects.
Experience with SAP and CRM (Salesforce) desired.
Strong analytical and problem-solving skills, with the ability to analyze complex data sets and extract meaningful insights.
High level of attention to detail to ensure accuracy in pricing models and analysis.
Ability to work at tactical and strategic levels.
Excellent communication and presentation skills to effectively convey pricing strategies and insights to stakeholders.
Ability to interact and influence at all levels of the organization; experience presenting at an executive level.

Axalta operates its business in two segments: Performance Coatings and Mobility Coatings, which serve four end markets, including Refinish, Industrial, Light Vehicle and Commercial Vehicle, across North America, EMEA, Latin America and Asia-Pacific. Our diverse global footprint allows us to deliver solutions in over 140+ countries and coat 30 million vehicles per year. We’ve recently set an exciting 2040 carbon neutrality goal, in addition to 10 other sustainability initiatives, and we take pride in working with our customers to optimize their businesses and achieve their goals.

Our Company:

Axalta has remained at the forefront of the coatings industry by continually investing in innovative solutions. We engineer technologies that protect customers’ products – whether they are battling heat, light, corrosion, abrasion, moisture, or chemicals – and add dimension and beauty with colorful finishes. We have a vast and ever-evolving portfolio of brands primed to play an important part in everything from modernizing infrastructure around the world to enabling the next generation of electric and autonomous vehicles.


Axalta operates its business in two segments: Performance Coatings and Mobility Coatings, which serve four end markets, including Refinish, Industrial, Light Vehicle and Commercial Vehicle, across North America, EMEA, Latin America and Asia-Pacific. Our diverse global footprint allows us to deliver solutions in over 140+ countries and coat 30 million vehicles per year. We’ve recently set an exciting 2040 carbon neutrality goal, in addition to 10 other sustainability initiatives, and we take pride in working with our customers to optimize their businesses and achieve their goals.

Axalta may use technology-assisted tools, including artificial intelligence (AI), to support certain aspects of the recruitment and selection process. These tools may be used to help manage applications, identify job-related qualifications, and assist recruiter review. All hiring decisions involve human oversight and review.

Recruitment Fraud Alert: We take candidate safety seriously. If you believe you’ve encountered a fraudulent job posting claiming to represent our company, please include a link or screenshot and report it to TA-Support-Center@axalta.com.",Gijón,Todos
Operario/A Sector Metal,Gi Group Holding,España,No especificado,8 días,"3,6","Desde Gi Group, la firma de servicios de trabajo temporal y permanent placement de Gi Group Holding, multinacional italiana líder en soluciones de Recursos Humanos, estamos convencidos de que podemos ayudarte a encontrar tu trabajo ideal. Es sencillo, cuidamos de ti y nos preocupamos por potenciar tu carrera profesional.


Actualmente, desde la delegación de Oviedo nos encontramos en busca de OPERARIO/A DE PRODUCCIÓN, para GIJON

¿Buscas estabilidad, proyección y formar parte de una compañía referente en el sector metal? Esta es tu oportunidad. Estamos seleccionando varios operarios/as de producción para reforzar diferentes áreas de una importante empresa ubicada en el centro de Asturias.


¿Cómo será tu día a día?

Formarás parte del equipo de producción en las secciones de abastecimiento de maquinaria de trefilado, perfilado y transformación, así como de la línea de pintura. Manejarás principalmente puente grúa, transpaleta y/o carretilla elevadora.


¿Qué necesitamos de ti?

Carnet de puente grúa en vigor (imprescindible).

Experiencia previa en entornos industriales o del metal.

Disponibilidad para trabajar en turno 3T4, de lunes a domingo según cuadrante.

Actitud proactiva, responsabilidad y ganas de aprender.


Y por nuestra parte, ¿qué podemos ofrecerte?

Contrato fijo discontinuo.

Salario según convenio propio de empresa, (mejorado respecto al metal) con primas de producción.

Formación inicial y acompañamiento para que puedas desarrollarte desde el primer día.


Y bien, ¿estás preparad@? Una oportunidad laboral de calidad y un trato personalizado y cercano te están esperando.


¡Inscríbete a la oferta y únete al equipo Gi Group! Te estamos esperando porque #NuestroCompromisoEresTú.


En cumplimiento de la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales, le informamos de que sus datos personales forman parte de un fichero propiedad de Gi Group Spain ETT S.L.U. y son tratados con la única finalidad de mantener la relación adquirida con usted. Puede ejercitar sus derechos de acceso, rectificación, cancelación y oposición dirigiéndose por escrito a Paseo de la Castellana, 89, 5º Planta, 28046, Madrid.",Gijón,Todos
Supply Chain Specialist (DRP Planner - Liquid),Axalta,España,No especificado,+ 30 d,"3,6","Axalta has remained at the forefront of the coatings industry by continually investing in innovative solutions. We engineer technologies that protect customers’ products – whether they are battling heat, light, corrosion, abrasion, moisture, or chemicals – and add dimension and beauty with colourful finishes. We have a vast and ever-evolving portfolio of brands primed to play an important part in everything from modernizing infrastructure around the world to enabling the next generation of electric and autonomous vehicles.

We are currently looking for a Supply Chain Specialist (DRP Planner) join us at our facility in Asturias, Spain.

The DRP Planner is responsible for managing and optimizing the Distribution Requirements Planning (DRP) process to ensure timely product availability in our Axalta Intercompany Warehouses, maximizing the service level, without jeopardizing stock availability in the complete network, minimizing costs and inventory levels. This role is crucial for optimizing inventory flow and ensuring efficient and effective distribution from the main warehouses and manufacturing sites to the different stock locations.

Key responsibilities:

Execute systematic product replenishment across the Axalta network, ensuring demand, safety stock, and lead time alignment with supply chain strategy.
Monitor daily demand signals, identify abnormal patterns, and collaborate with planning teams to stabilize supply flows.
Maintain optimal inventory levels by location while balancing transportation costs and efficiency.
Improve warehouse inventory health by analyzing NGST materials, coordinating redeployment, and managing rework, scrap, or shelf-life extensions.
Support SKU lifecycle management by executing phase-in/phase-out plans and redeploying inventory during transitions.
Contribute to the Integrated Business Planning (IBP) cycle by consolidating demand forecasts, safety stock requirements, and supply signals for intercompany exports.
Manage stock transfer orders from creation to goods receipt, including delivery scheduling, load optimization, and issue resolution.
Drive continuous improvement by analyzing distribution data, implementing cost and efficiency initiatives, and reporting KPIs to support strategic decisions.
Act as the primary liaison for warehouses, ensuring clear communication and coordination on replenishment activities.

Key requirements:

Bachelor’s degree preferred, ideally in Business Administration, Supply Chain Management, Logistics, or a related field.
Fluent English speaker with excellent verbal and written communication skills.
Advanced proficiency in Microsoft Office Suite, particularly Excel (pivot tables, formulas, data analysis). Ideally experience with SAP (MM and/or PP) and OMP.
Prior experience in supply chain roles or solid knowledge of demand planning, logistics, and inventory management best practices.
Familiarity with SAP or other advanced planning systems considered a strong advantage.
Skills: Strong analytical, prioritization, and problem-solving abilities, with capability to manage large data volumes and perform quantitative analysis. Continuous improvement mindset and proven ability to collaborate effectively across cross-functional teams.

Axalta operates its business in two segments: Performance Coatings and Mobility Coatings, which serve four end markets, including Refinish, Industrial, Light Vehicle and Commercial Vehicle, across North America, EMEA, Latin America and Asia-Pacific. Our diverse global footprint allows us to deliver solutions in over 140+ countries and coat 30 million vehicles per year. We’ve recently set an exciting 2040 carbon neutrality goal, in addition to 10 other sustainability initiatives, and we take pride in working with our customers to optimize their businesses and achieve their goals.

Our Company:

Axalta has remained at the forefront of the coatings industry by continually investing in innovative solutions. We engineer technologies that protect customers’ products – whether they are battling heat, light, corrosion, abrasion, moisture, or chemicals – and add dimension and beauty with colorful finishes. We have a vast and ever-evolving portfolio of brands primed to play an important part in everything from modernizing infrastructure around the world to enabling the next generation of electric and autonomous vehicles.


Axalta operates its business in two segments: Performance Coatings and Mobility Coatings, which serve four end markets, including Refinish, Industrial, Light Vehicle and Commercial Vehicle, across North America, EMEA, Latin America and Asia-Pacific. Our diverse global footprint allows us to deliver solutions in over 140+ countries and coat 30 million vehicles per year. We’ve recently set an exciting 2040 carbon neutrality goal, in addition to 10 other sustainability initiatives, and we take pride in working with our customers to optimize their businesses and achieve their goals.

2 - Professionals (EEO-1 Job Categories-United States of America)",Gijón,Todos
Responsable de taller,Talent2time,España,28 mil € - 35 mil € (Proporcionado por la empresa),8 días,"3,6","Oferta de Empleo: Responsable de Taller de metal

Grupo Empresarial con Sede Fiscal en Gijón y Delegación en Madrid

Desde Talent2time como recruiter de RRHH para importante compañía en Gijón cuya taller de carpintería metálica/ desarrollo de imágenes corporativas está equipado con herramientas y maquinaria de última generación, orientado a la fabricación y montaje de estructuras metálicas, mobiliario urbano y componentes personalizados según las especificaciones del cliente.con un enfoque en la precisión y la calidad en cada proyecto, buscamos para formar parte de equipo Responsable de Taller

Funciones del Puesto:

Gestión de Equipo y Liderazgo: Supervisar y coordinar un equipo promoviendo un ambiente de trabajo seguro, eficiente y motivador.
Gestión de Producción: Planificar y organizar la producción de manera efectiva, asegurando el cumplimiento de los plazos de entrega y la calidad de los productos. Supervisar el proceso de fabricación y montaje, realizando ajustes cuando sea necesario.
Planificación de Órdenes de Trabajo: Elaborar y gestionar el calendario de producción, priorizando tareas y asegurando una correcta asignación de recursos. Realizar seguimientos periódicos para garantizar la correcta ejecución de los proyectos.
Contacto con Clientes y Proveedores: Colaborar con proveedores para asegurar la disponibilidad de materiales y equipos necesarios.
Seguimiento de Obra: Visitar obras y coordinar con el equipo de montaje para asegurar que las instalaciones se realicen conforme a los planos y especificaciones acordados. Gestionar cualquier incidencia que pueda surgir en el proceso.
Interpretación de Planos y Diseños: Leer e interpretar planos técnicos y diseños tanto en 2D como en 3D,

Requisitos:

Formación Profesional (FP): Grado Medio o Superior en Fabricación Mecánica, Construcciones Metálicas o Soldadura y Calderería.
Lectura avanzada de planos: Capacidad para interpretar planos arquitectónicos y de despiece industrial.
Manejo de maquinaria: Conocimiento experto en cizallas, plegadoras (manuales y CNC), tronzadoras, prensas y equipos de soldadura.
Conocimiento de materiales: Diferenciar tratamientos y comportamientos del acero al carbono, acero inoxidable, aluminio y sus acabados (lacados, galvanizados, imprimaciones).
Software CAD: Conocimientos básicos de AutoCAD o similares para consultar medidas o realizar pequeñas modificaciones.
Liderazgo y autoridad: Capacidad para gestionar conflictos y mantener la disciplina en el taller.
Planificación estratégica: Capacidad para organizar el flujo de trabajo de varias semanas vista.
Resiliencia: Temple para manejar las prisas de los clientes y los retrasos de los proveedores sin perder la eficiencia.

Ofrecemos:

Contrato indefinido.
Jornada partida de lunes a viernes.
Oportunidades de desarrollo profesional.

Tipo de puesto: Jornada completa

Sueldo: 28.000,00€-35.000,00€ al año

Ubicación del trabajo: Empleo presencial",Gijón,Todos
Inventory & Cost Accounting Accountant,Axalta,España,No especificado,13 días,"3,6","Axalta has remained at the forefront of the coatings industry by continually investing in innovative solutions. We engineer technologies that protect customers’ products – whether they are battling heat, light, corrosion, abrasion, moisture, or chemicals – and add dimension and beauty with colourful finishes. We have a vast and ever-evolving portfolio of brands primed to play an important part in everything from modernizing infrastructure around the world to enabling the next generation of electric and autonomous vehicles.

We are currently looking for an Inventory and Cost Accounting Accountant, to join us at our facility in Asturias, Spain, working on a hybrid setting (2 days from home, 3 days from the office). The Inventory and Cost Accounting Accountant ensures that manufacturing costs are accurately allocated to the products and follow US GAAP guidance.

Key responsibilities:

Manufacturing cost accounting.
Inventory accounting.
Intercompany profit reconciliation.
EMEA physical inventory adjustments.
Global Standard Costing: Cost estimates and maintain mixed costing ratios.

Key requirements:

Degree in Finance or Business Administration.
English language, advanced level.
Strong SAP knowledge, especially FI, CO and MM modules.
Computer proficient, including MS office skills (Excel, Access, Word, Power Point).
Good interpersonal and communication skills.
Able to work independently.
Self-motivated.
Team player.

Axalta operates its business in two segments: Performance Coatings and Mobility Coatings, which serve four end markets, including Refinish, Industrial, Light Vehicle and Commercial Vehicle, across North America, EMEA, Latin America and Asia-Pacific. Our diverse global footprint allows us to deliver solutions in over 140+ countries and coat 30 million vehicles per year. We’ve recently set an exciting 2040 carbon neutrality goal, in addition to 10 other sustainability initiatives, and we take pride in working with our customers to optimize their businesses and achieve their goals.

Our Company:

Axalta has remained at the forefront of the coatings industry by continually investing in innovative solutions. We engineer technologies that protect customers’ products – whether they are battling heat, light, corrosion, abrasion, moisture, or chemicals – and add dimension and beauty with colorful finishes. We have a vast and ever-evolving portfolio of brands primed to play an important part in everything from modernizing infrastructure around the world to enabling the next generation of electric and autonomous vehicles.


Axalta operates its business in two segments: Performance Coatings and Mobility Coatings, which serve four end markets, including Refinish, Industrial, Light Vehicle and Commercial Vehicle, across North America, EMEA, Latin America and Asia-Pacific. Our diverse global footprint allows us to deliver solutions in over 140+ countries and coat 30 million vehicles per year. We’ve recently set an exciting 2040 carbon neutrality goal, in addition to 10 other sustainability initiatives, and we take pride in working with our customers to optimize their businesses and achieve their goals.

Axalta may use technology-assisted tools, including artificial intelligence (AI), to support certain aspects of the recruitment and selection process. These tools may be used to help manage applications, identify job-related qualifications, and assist recruiter review. All hiring decisions involve human oversight and review.

Recruitment Fraud Alert: We take candidate safety seriously. If you believe you’ve encountered a fraudulent job posting claiming to represent our company, please include a link or screenshot and report it to TA-Support-Center@axalta.com.

2 - Professionals (EEO-1 Job Categories-United States of America)",Gijón,Todos
Monitor/a de apoyo escolar en GIJÓN (Asturias) - CURSO 2025-2026,VitaEvents,España,No especificado,2 días,"3,6","Desde VITAEVENTS, empresa dedicada al diseño, gestión y coordinación de proyectos socioculturales en el ámbito nacional, abrimos un nuevo proceso de selección de personal para trabajar durante el curso escolar 2025-2026 en un proyecto de refuerzo educativo y técnicas de estudio con alumnos de 1º y 2º de ESO en un IES del centro de la localidad de Gijón (Asturias).

IMPRESCINDIBLE:

Titulación universitaria en Magisterio de Educación Primaria, Pedagogía, Psicología, Sociología, Educación Social o Trabajo Social.
Experiencia laboral anterior en el ámbito educativo (apoyo escolar, etc.)
Disponibilidad para comenzar a trabajar el día 25 de febrero de 2026.
Disponibilidad para trabajar en horario de tardes.
Estar en posesión del certificado de ausencia de delitos de naturaleza sexual.
Proactividad y capacidad para trabajar con niños.

HORARIOS DE TRABAJO:

Lunes y miércoles en horario de 16:30 a 18:00H (no se trabaja en periodos vacacionales escolares).

MUY VALORABLE:

Residir en zonas cercanas al puesto de trabajo.

Tipo de puesto: Media jornada

Educación:

Diplomatura/Grado (Obligatorio)

Experiencia:

apoyo escolar con alumnos/as de E.S.O.: 1 año (Deseable)

Ubicación del trabajo: Empleo presencial",Gijón,Todos
Lead Utilities Engineer,MAAP,España,36 mil € - 102 mil € (Proporcionado por la empresa),17 días,"3,6","Client information:

MAAP is hiring a Utility Engineer to work on an international industrial project for a leading group in advanced materials and clean mobility markets.

Department description and responsibilities:

The Lead Utilities Engineer is responsible for the design, development, and maintenance of utility systems, including HVAC, water supply, power distribution, and gas networks. This role spans the entire project lifecycle - from concept to completion - ensuring compliance with the highest standards of quality, efficiency, and safety.

Key Responsibilities:

Be an integral part of the local engineering team based in Spain.
Serve as the primary point of contact for discussions with engineering partners and contractors.
Provide technical oversight for utility systems throughout design and execution phases.
Optimize system performance and ensure compliance with regulatory requirements.
Collaborate closely with engineering partners and contractors during construction activities.
Manage overall project execution for utility-related workstreams.

Project Description:

The project involves the design, construction, and commissioning of a state-of-the-art facility in Gijón, Spain, dedicated to the production of Precursor Cathode Active Material (PCAM) and associated refining processes.

This is a long-term employment position within MAAP, supporting a major industrial client.

Tasks and Responsibilities:

Act as technical lead for HVAC and utilities across all project phases
Ensure compliance with global engineering and safety standards
Take full technical responsibility for construction and commissioning activities
Drive optimal technical solutions while safeguarding CAPEX and OPEX objectives
Lead discussions on safety, design, progress, cost, and project performance
Support procurement and coordination of critical equipment and contractors
Review and approve technical documentation, drawings, and specifications (incl. P&IDs)
Align technical solutions with designers, Asset Management, and Operations
Monitor site execution, schedules, costs, and subcontractor performance
Identify and implement cost-saving and optimization opportunities
Capture lessons learned and share expertise within local and global engineering teams
Collaborate cross-functionally to resolve technical challenges and ensure successful project delivery

Technical Requirements:

7+ years experience within Utilities design and commissioning within an industrial engineering environment.
Experience with AutoCad, Plant 3D, Naviswork and Autodesk
Experience in managing greenfield projects under EPCm and EPC contract models
Minimum 3 years of professional experience working on construction sites
Solid understanding and application of health and safety regulations

Non-Technical Requirements:

Ability to work independently and as part of a team.
Demonstrated ability to identify, define, and resolve complex problems effectively
Skilled in assessing needs and driving organizational change initiatives

Academic Requirements:

Bachelor’s or Master’s degree in Mechanical Engineering, Electromechanics, or a related field

Location:

Primary work location: Gijón, Asturias, Spain

Business Travel:

Travel will be required inside (mainly Barcelona) and outside Spain
Expenses reimbursed via Expense sheet

Contract:

Permanent or long-term employment contract with MAAP

For questions or further information, please contact contact@maap-eng.com

Job Types: Full-time, Contract
Contract length: 12 months

Pay: 36,000.00€ - 102,000.00€ per year

Work Location: Hybrid remote in 33350 Gijón, Asturias provincia",Gijón,Todos
Médico capilar,Muy Capilar,España,25 mil € - 45 mil € (Proporcionado por la empresa),29 días,"3,6","Desde MCapilar, clínica líder del sector capilar, buscamos incorporar a nuestra plantilla un médico capilar que pueda brindar a nuestros pacientes un servicio de calidad y excelencia.

Requisitos:

- Título de medicina.
- Colegiatura de medicina.

-Master en tricología y cirugía capilar
- Seguro de responsabilidad civil.

Tipo de puesto: Jornada completa

Sueldo: 25.000,00€-45.000,00€ al año

Preguntas para la solicitud:

¿ Has trabajado anteriormente en un puesto similar?
¿Tienes disponibilidad para viajar para hacer formación, cursos...?

Experiencia:

médico capilar : 1 año (Obligatorio)

Ubicación del trabajo: Empleo presencial",Gijón,Todos
Beca Unidad de Compras y Logística (Oviedo),Naturgy,España,No especificado,30 días,"3,6","Somos un grupo energético multinacional e innovador, presente en más de 20 países. Nos dedicamos a la generación, distribución y comercialización de energía y servicios, comprometidos con el bienestar de las personas, el progreso de empresas y sociedad, y la sostenibilidad del planeta.

Si te encuentras cursando el último año de estudios universitarios, ofrecemos la posibilidad de realizar becas en nuestros negocios en distintas especialidades, que te permitirán completar tu formación y ayudarte en tu orientación profesional. Comprueba en el detalle a qué estudios van dirigidas.

¡Impulsa tu energía! ¡Acelera tu futuro! ¡Conecta con Naturgy!




Somos un grupo energético multinacional e innovador, presente en más de 20 países. Nos dedicamos a la generación, distribución y comercialización de energía y servicios, comprometidos con el bienestar de las personas, el progreso de empresas y sociedad, y la sostenibilidad del planeta. Buscamos talento joven, digital, flexible y creativo. Conecta con nosotros tus ganas de aprender y de trabajar en equipos diversos. Buscamos tu proactividad y valentía para impulsar nuestra transformación y la del mundo, a través de la energía. ¡Impulsa tu energía! ¡Acelera tu futuro! ¡Conecta con Naturgy!




Para cumplir estos compromisos contamos con el talento de un equipo transformador, diverso y muy comprometido. En Naturgy Impulsamos la conexión de nuestros profesionales con las últimas tendencias del entorno, conocimientos digitales y competencias vinculadas a nuestros modelos de liderazgo y cultura. Asimismo promovemos su desarrollo integral a través de diversas medidas de conciliación profesional y laboral. Para integrar el talento que necesitamos, nuestro modelo de selección externa está homogeneizado en todas las geografías donde operamos, para garantizar una única estrategia empleadora, priorizando la igualdad de oportunidades y la diversidad como ejes de nuestra transformación

Departamento: Compras y Logística - Generación Térmica España




Funciones a realizar:

Identificar las recomendaciones de mantenimiento de los fabricantes.
Uniformizar las acciones de mantenimiento.
Identificación de los activos físicos en SAP S/4HANA.
Enriquecimiento documentación técnica en el SAP S/4HANA.
Propuesta de revisión del Pliego Técnico.



Requisitos:

Estudiante de Grado en Ingeniería mecánica o similar
Excel intermedio



Herramientas que utilizarás en tus prácticas:

Excel avanzado.
Power BI.
SAP.



Se ofrece:

Ayuda a estudios.
Aprendizaje en un puesto específico de compras válido para cualquier empresa.
Buen ambiente de trabajo.



Las prácticas se realizarán presencialmente en CL. Santa Susana, 2. Oviedo (33007).




¿Te apuntas al desafío?

Rellena el formulario con tus datos. Para completar el perfil, adjunta tu CV y tu expediente académico.
Si cumples el perfil, contactaremos contigo para participar en una prueba y entrevistas.
Si avanzas con éxito en el proceso ¡te damos la bienvenida al equipo Naturgy!

¡Inscríbete y atrévete a impulsar tu energía y acelerar tu futuro con Naturgy!",Gijón,Todos
Departamento de Operaciones y Administración en Agencia de Viajes,GRUPO VALÍA,España,No especificado,+ 30 d,"3,6","En Grupo Valía buscamos una persona para trabajar en el departamento de operaciones y administración de nuestra agencia de viajes.

El empleo se desarrollará de forma presencial en Asturias.

Requisitos:

Inglés nivel C1 o superior.
Valorable positivamente conocimiento en italiano, francés o portugués.
2-5 años de experiencia en agencias de viajes.
Disponibilidad para viajar.

Horario:

Lunes a viernes de 9:30-18:30.
Guardia telefónica 2 fines de semana al mes.

Funciones principales:

Gestión y organización de la agencia de viajes.
Relación con proveedores.
Diseñar, cotizar y gestionar paquetes turísticos receptivos para clientes individuales o grupos.
Colaborar con el equipo en la creación de nuevas propuestas y productos turísticos.
Mantener comunicación directa con agencias y clientes internacionales en inglés.
Coordinar reservas, proveedores, alojamiento, actividades y servicios complementarios.
Supervisar itinerarios y garantizar la excelencia en la experiencia del cliente.
Resolver incidencias y asegurar una atención rápida y eficaz.

Ofrecemos

Incorporación a un equipo profesional y dinámico.
Oportunidad de crecimiento dentro del sector receptivo.
Participación en proyectos internacionales y experiencias únicas.
Condiciones competitivas según experiencia.

Tipo de puesto: Jornada completa, Contrato indefinido

Ubicación del trabajo: Empleo presencial",Gijón,Todos
